"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"safety-research/circuit-tracer",1341,"safety-research","https://avatars.githubusercontent.com/u/191413816?v=4",,"[]","https://github.com/safety-research/circuit-tracer","2025-05-28T19:14:08Z","2025-06-02T04:15:08Z","2025-05-29T04:59:07Z","git://github.com/safety-research/circuit-tracer.git","git@github.com:safety-research/circuit-tracer.git","https://github.com/safety-research/circuit-tracer.git","https://github.com/safety-research/circuit-tracer",,2173,"JavaScript",118,6,"main","MIT License"
"Tencent-Hunyuan/HunyuanVideo-Avatar",761,"Tencent-Hunyuan","https://avatars.githubusercontent.com/u/210980732?v=4",,"[]","https://github.com/Tencent-Hunyuan/HunyuanVideo-Avatar","2025-05-26T11:24:20Z","2025-06-02T04:17:17Z","2025-05-29T13:54:59Z","git://github.com/Tencent-Hunyuan/HunyuanVideo-Avatar.git","git@github.com:Tencent-Hunyuan/HunyuanVideo-Avatar.git","https://github.com/Tencent-Hunyuan/HunyuanVideo-Avatar.git","https://github.com/Tencent-Hunyuan/HunyuanVideo-Avatar",,89836,"Python",67,25,"main","Other"
"goforj/godump",650,"goforj","https://avatars.githubusercontent.com/u/210955181?v=4","A minimal, developer-friendly pretty-printer and debug dumper for Go structs, inspired by Laravel’s dump() and Symfony’s VarDumper.","[]","https://github.com/goforj/godump","2025-05-26T20:01:31Z","2025-06-02T04:13:52Z","2025-06-01T22:09:17Z","git://github.com/goforj/godump.git","git@github.com:goforj/godump.git","https://github.com/goforj/godump.git","https://github.com/goforj/godump",,6000,"Go",10,0,"main","MIT License"
"Olow304/memvid",583,"Olow304","https://avatars.githubusercontent.com/u/7048571?v=4","Video-based AI memory library. Store millions of text chunks in MP4 files with lightning-fast semantic search. No database needed.","[""ai"",""context"",""embedded"",""faiss"",""knowledge-base"",""knowledge-graph"",""llm"",""machine-learning"",""memory"",""nlp"",""offline-first"",""opencv"",""python"",""rag"",""retrieval-augmented-generation"",""semantic-search"",""vector-database"",""video-processing""]","https://github.com/Olow304/memvid","2025-05-27T16:01:08Z","2025-06-02T04:19:56Z","2025-05-28T17:31:53Z","git://github.com/Olow304/memvid.git","git@github.com:Olow304/memvid.git","https://github.com/Olow304/memvid.git","https://github.com/Olow304/memvid","https://pypi.org/project/memvid/",10756,"Python",49,3,"main","MIT License"
"alibaba/ROLL",461,"alibaba","https://avatars.githubusercontent.com/u/1961952?v=4",,"[]","https://github.com/alibaba/ROLL","2025-05-28T11:27:18Z","2025-06-02T04:12:05Z","2025-05-31T13:37:29Z","git://github.com/alibaba/ROLL.git","git@github.com:alibaba/ROLL.git","https://github.com/alibaba/ROLL.git","https://github.com/alibaba/ROLL",,27024,"Python",28,1,"main","Apache License 2.0"
"aizhimou/jav-play",388,"aizhimou","https://avatars.githubusercontent.com/u/19943786?v=4","Play video directly in JAVDB","[]","https://github.com/aizhimou/jav-play","2025-05-27T03:17:14Z","2025-06-01T17:46:55Z","2025-05-30T10:59:40Z","git://github.com/aizhimou/jav-play.git","git@github.com:aizhimou/jav-play.git","https://github.com/aizhimou/jav-play.git","https://github.com/aizhimou/jav-play",,205,"TypeScript",32,2,"main","Apache License 2.0"
"GtxFury/FlyClash-Android",370,"GtxFury","https://avatars.githubusercontent.com/u/32810165?v=4","FlyClash客户端安卓版本","[]","https://github.com/GtxFury/FlyClash-Android","2025-05-26T04:15:49Z","2025-06-02T03:32:30Z","2025-06-02T03:32:27Z","git://github.com/GtxFury/FlyClash-Android.git","git@github.com:GtxFury/FlyClash-Android.git","https://github.com/GtxFury/FlyClash-Android.git","https://github.com/GtxFury/FlyClash-Android",,1123,,6,0,"main",
"linux-do/cdk",348,"linux-do","https://avatars.githubusercontent.com/u/160804563?v=4","LINUX DO CD key","[]","https://github.com/linux-do/cdk","2025-05-28T06:38:57Z","2025-06-02T02:30:56Z","2025-05-28T06:39:37Z","git://github.com/linux-do/cdk.git","git@github.com:linux-do/cdk.git","https://github.com/linux-do/cdk.git","https://github.com/linux-do/cdk",,0,,24,8,"master",
"Jskeaaa/cursor_pro",339,"Jskeaaa","https://avatars.githubusercontent.com/u/104109089?v=4","免费用户cursor突破claude-3.7的限制。仅供学习，给个星星","[]","https://github.com/Jskeaaa/cursor_pro","2025-05-28T06:20:21Z","2025-06-02T04:16:33Z","2025-05-30T15:24:13Z","git://github.com/Jskeaaa/cursor_pro.git","git@github.com:Jskeaaa/cursor_pro.git","https://github.com/Jskeaaa/cursor_pro.git","https://github.com/Jskeaaa/cursor_pro","",51038,"Python",45,2,"main",
"muthuishere/mcp-server-bash-sdk",326,"muthuishere","https://avatars.githubusercontent.com/u/132564?v=4","Yes Mcp server in bash","[]","https://github.com/muthuishere/mcp-server-bash-sdk","2025-05-29T17:40:20Z","2025-06-02T03:31:54Z","2025-05-31T13:57:01Z","git://github.com/muthuishere/mcp-server-bash-sdk.git","git@github.com:muthuishere/mcp-server-bash-sdk.git","https://github.com/muthuishere/mcp-server-bash-sdk.git","https://github.com/muthuishere/mcp-server-bash-sdk","",35,"Shell",19,2,"main","MIT License"
