"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"DietrichGebert/ponytail",90966,"DietrichGebert","https://avatars.githubusercontent.com/u/137048761?v=4","Makes your AI agent think like the laziest senior dev in the room. The best code is the code you never wrote.","[""agent-skills"",""ai-agents"",""claude"",""claude-code"",""claude-code-plugin"",""cursor-rules"",""developer-tools"",""llm"",""prompt-engineering"",""yagni""]","https://github.com/DietrichGebert/ponytail","2026-06-12T00:52:37Z","2026-07-29T02:01:39Z","2026-07-15T21:32:15Z","git://github.com/DietrichGebert/ponytail.git","git@github.com:DietrichGebert/ponytail.git","https://github.com/DietrichGebert/ponytail.git","https://github.com/DietrichGebert/ponytail","https://ponytail.dev",2253,"JavaScript",5015,107,"main","MIT License"
"odysseus-dev/odysseus",84117,"odysseus-dev","https://avatars.githubusercontent.com/u/305418735?v=4","Self-hosted AI workspace. ","[]","https://github.com/odysseus-dev/odysseus","2026-05-31T14:05:51Z","2026-07-29T01:51:08Z","2026-07-28T22:02:41Z","git://github.com/odysseus-dev/odysseus.git","git@github.com:odysseus-dev/odysseus.git","https://github.com/odysseus-dev/odysseus.git","https://github.com/odysseus-dev/odysseus","https://odysseus-dev.github.io/odysseus",41047,"Python",148,993,"dev","GNU Affero General Public License v3.0"
"BigPizzaV3/CodexPlusPlus",26968,"BigPizzaV3","https://avatars.githubusercontent.com/u/237402563?v=4","An enhanced tool for CodexApp, striving to make Codex better to use and more comfortable 一个CodexApp的增强工具，努力让Codex变得更好用更舒服","[]","https://github.com/BigPizzaV3/CodexPlusPlus","2026-05-06T09:32:49Z","2026-07-29T02:04:06Z","2026-07-28T05:07:31Z","git://github.com/BigPizzaV3/CodexPlusPlus.git","git@github.com:BigPizzaV3/CodexPlusPlus.git","https://github.com/BigPizzaV3/CodexPlusPlus.git","https://github.com/BigPizzaV3/CodexPlusPlus","",30371,"Rust",1725,1032,"main","GNU Affero General Public License v3.0"
"xai-org/grok-build",23258,"xai-org","https://avatars.githubusercontent.com/u/130314967?v=4","SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible.","[]","https://github.com/xai-org/grok-build","2026-07-14T20:04:23Z","2026-07-29T02:02:42Z","2026-07-28T22:50:24Z","git://github.com/xai-org/grok-build.git","git@github.com:xai-org/grok-build.git","https://github.com/xai-org/grok-build.git","https://github.com/xai-org/grok-build",,22084,"Rust",4404,0,"main","Apache License 2.0"
"JustVugg/colibri",20625,"JustVugg","https://avatars.githubusercontent.com/u/13022503?v=4","Run GLM-5.2 (744B MoE) on a 25GB-RAM consumer machine — pure C, zero deps, experts streamed from disk. Tiny engine, immense model. 🐦","[]","https://github.com/JustVugg/colibri","2026-07-01T12:27:49Z","2026-07-29T02:01:10Z","2026-07-28T22:17:05Z","git://github.com/JustVugg/colibri.git","git@github.com:JustVugg/colibri.git","https://github.com/JustVugg/colibri.git","https://github.com/JustVugg/colibri","https://justvugg.github.io/colibri",7289,"C",2090,84,"main","Apache License 2.0"
"baidu/Unlimited-OCR",19916,"baidu","https://avatars.githubusercontent.com/u/13245940?v=4","Unlimited OCR Works: Welcome the Era of One-shot Long-horizon Parsing.","[]","https://github.com/baidu/Unlimited-OCR","2026-06-18T08:40:15Z","2026-07-29T02:04:56Z","2026-07-27T07:45:34Z","git://github.com/baidu/Unlimited-OCR.git","git@github.com:baidu/Unlimited-OCR.git","https://github.com/baidu/Unlimited-OCR.git","https://github.com/baidu/Unlimited-OCR",,80179,"Python",1952,69,"main","MIT License"
"antirez/ds4",19370,"antirez","https://avatars.githubusercontent.com/u/65632?v=4","DeepSeek 4 Flash and PRO local inference engine for Metal, CUDA and ROCm","[]","https://github.com/antirez/ds4","2026-05-06T17:17:05Z","2026-07-29T01:01:23Z","2026-07-28T12:04:52Z","git://github.com/antirez/ds4.git","git@github.com:antirez/ds4.git","https://github.com/antirez/ds4.git","https://github.com/antirez/ds4","",13419,"C",1719,350,"main","MIT License"
"alibaba/open-code-review",15526,"alibaba","https://avatars.githubusercontent.com/u/1961952?v=4","Open-source & free — Battle-tested at Alibaba's scale. Hybrid architecture code review tool: deterministic pipelines + LLM Agent, precise line-level comments, built-in fine-tuned ruleset (NPE, thread-safety, XSS, SQL injection), OpenAI & Anthropic compatible.","[""agent"",""agent-skills"",""code-review"",""code-review-assistant"",""harness"",""repository-level-context""]","https://github.com/alibaba/open-code-review","2026-05-18T02:16:36Z","2026-07-29T02:03:23Z","2026-07-28T13:56:47Z","git://github.com/alibaba/open-code-review.git","git@github.com:alibaba/open-code-review.git","https://github.com/alibaba/open-code-review.git","https://github.com/alibaba/open-code-review","https://open-codereview.ai",47236,"Go",1051,67,"main","Apache License 2.0"
"microsoft/SkillOpt",15260,"microsoft","https://avatars.githubusercontent.com/u/6154722?v=4","SkillOpt is a text-space optimizer that trains reusable natural-language skills for frozen LLM agents through trajectory-driven edits, validation-gated updates, and deployable best_skill.md artifacts.","[""agent-skills"",""self-evolving-agents""]","https://github.com/microsoft/SkillOpt","2026-05-08T06:41:01Z","2026-07-29T00:11:06Z","2026-07-28T09:35:38Z","git://github.com/microsoft/SkillOpt.git","git@github.com:microsoft/SkillOpt.git","https://github.com/microsoft/SkillOpt.git","https://github.com/microsoft/SkillOpt","https://aka.ms/skillopt",23565,"Python",1407,26,"main","MIT License"
"langchain-ai/openwiki",13491,"langchain-ai","https://avatars.githubusercontent.com/u/126733545?v=4","OpenWiki is a CLI that writes and maintains agent documentation for your codebase.","[]","https://github.com/langchain-ai/openwiki","2026-06-22T23:48:26Z","2026-07-29T02:02:10Z","2026-07-29T00:43:49Z","git://github.com/langchain-ai/openwiki.git","git@github.com:langchain-ai/openwiki.git","https://github.com/langchain-ai/openwiki.git","https://github.com/langchain-ai/openwiki","",2144,"TypeScript",945,126,"main","MIT License"
"ayghri/i-have-adhd",12831,"ayghri","https://avatars.githubusercontent.com/u/32200675?v=4","A skill for your coding agent to stop it from burying the answer. ADHD-friendly output.","[""adhd"",""claude-"",""claude-code-plugin"",""claude-skills"",""developer-tools"",""productivity""]","https://github.com/ayghri/i-have-adhd","2026-05-13T20:42:06Z","2026-07-29T02:03:37Z","2026-07-28T17:41:32Z","git://github.com/ayghri/i-have-adhd.git","git@github.com:ayghri/i-have-adhd.git","https://github.com/ayghri/i-have-adhd.git","https://github.com/ayghri/i-have-adhd","",190,"Python",667,13,"main","MIT License"
"Fei-Away/Codex-Dream-Skin",12579,"Fei-Away","https://avatars.githubusercontent.com/u/100042407?v=4","Codex Dream Skin","[]","https://github.com/Fei-Away/Codex-Dream-Skin","2026-07-15T12:34:51Z","2026-07-29T01:57:38Z","2026-07-26T16:03:55Z","git://github.com/Fei-Away/Codex-Dream-Skin.git","git@github.com:Fei-Away/Codex-Dream-Skin.git","https://github.com/Fei-Away/Codex-Dream-Skin.git","https://github.com/Fei-Away/Codex-Dream-Skin","https://www.dreamskin.cc",23064,"JavaScript",1255,71,"main",
"XiaomiMiMo/MiMo-Code",12526,"XiaomiMiMo","https://avatars.githubusercontent.com/u/208276378?v=4","MiMo Code: Where Models and Agents Co-Evolve","[""ai"",""ai-agents"",""cli"",""mimo"",""mimo-code""]","https://github.com/XiaomiMiMo/MiMo-Code","2026-06-10T11:52:41Z","2026-07-29T01:28:27Z","2026-07-28T15:19:41Z","git://github.com/XiaomiMiMo/MiMo-Code.git","git@github.com:XiaomiMiMo/MiMo-Code.git","https://github.com/XiaomiMiMo/MiMo-Code.git","https://github.com/XiaomiMiMo/MiMo-Code","https://mimo.xiaomi.com/mimocode",58944,"TypeScript",1278,840,"main","MIT License"
"virgiliojr94/book-to-skill",11485,"virgiliojr94","https://avatars.githubusercontent.com/u/23645449?v=4","Turn any technical book PDF into a Claude Code skill — ready to study, reference, and use while you work.","[]","https://github.com/virgiliojr94/book-to-skill","2026-05-01T02:09:39Z","2026-07-29T02:04:46Z","2026-07-27T22:42:43Z","git://github.com/virgiliojr94/book-to-skill.git","git@github.com:virgiliojr94/book-to-skill.git","https://github.com/virgiliojr94/book-to-skill.git","https://github.com/virgiliojr94/book-to-skill",,754,"Python",1344,14,"master","MIT License"
