"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"pliablepixels/gap-trap",171,"pliablepixels","https://avatars.githubusercontent.com/u/4116654?v=4","Turns vibe coding into high quality code. Sets up rules and gates in your repo so AI-written code stays correct without you reviewing every line.","[""agent-skills"",""agentic-coding"",""agents-md"",""ai-agents"",""ai-coding"",""ci-cd"",""claude-code"",""claude-skills"",""code-quality"",""codex"",""coding-agents"",""cursor"",""developer-tools"",""github-actions"",""llm"",""mutation-testing"",""quality-gates"",""tdd"",""testing"",""vibe-coding""]","https://github.com/pliablepixels/gap-trap","2026-09-13T20:29:08Z","2026-09-18T20:49:56Z","2026-09-17T23:44:28Z","git://github.com/pliablepixels/gap-trap.git","git@github.com:pliablepixels/gap-trap.git","https://github.com/pliablepixels/gap-trap.git","https://github.com/pliablepixels/gap-trap","https://pliablepixels.github.io/gap-trap/",1159,"JavaScript",9,0,"main","MIT License"
"ruc-datalab/EvoOntology",161,"ruc-datalab","https://avatars.githubusercontent.com/u/76154266?v=4","EvoOntology: A Self-Evolving Ontology Layer for Data Agents ⚙️ EvoOntology插件为Claude Code/Codex 建立&进化本体层","[""agent"",""agentic-ai"",""claude-code"",""codex"",""data-analysis"",""data-science"",""harness"",""llm"",""llm-agents"",""ontology"",""plugin"",""self-evolving""]","https://github.com/ruc-datalab/EvoOntology","2026-09-15T01:57:40Z","2026-09-19T01:47:11Z","2026-09-15T07:29:50Z","git://github.com/ruc-datalab/EvoOntology.git","git@github.com:ruc-datalab/EvoOntology.git","https://github.com/ruc-datalab/EvoOntology.git","https://github.com/ruc-datalab/EvoOntology","",14286,"Python",13,0,"master","MIT License"
"NiazMorshed2007/jev-review",123,"NiazMorshed2007","https://avatars.githubusercontent.com/u/77217706?v=4","Local-first MCP plugin for continuous software-quality review by AI coding agents, powered by Jev.","[""agent-plugin"",""ai-agents"",""claude-code"",""code-review"",""codex"",""coding-agents"",""cursor"",""developer-tools"",""jev"",""local-first"",""mcp"",""model-context-protocol"",""opencode"",""software-quality"",""typescript""]","https://github.com/NiazMorshed2007/jev-review","2026-09-17T05:24:51Z","2026-09-19T01:41:37Z","2026-09-17T17:15:20Z","git://github.com/NiazMorshed2007/jev-review.git","git@github.com:NiazMorshed2007/jev-review.git","https://github.com/NiazMorshed2007/jev-review.git","https://github.com/NiazMorshed2007/jev-review",,2867,"TypeScript",9,2,"main","MIT License"
"ardeyouxipianyi/workbuddy2api-hub",114,"ardeyouxipianyi","https://avatars.githubusercontent.com/u/189708448?v=4","WorkBuddy 国际国内多账号反代网关 — 双域独立路由与切换、稳定设备指纹防风控、国内成长任务全自动完成、后台定时调度器、Web监控看板，支持 Codex / Claude Code / DSH与标准 OpenAI 客户端。","[""api-gateway"",""claude-code"",""codebuddy"",""codex"",""deepseek"",""openai-api"",""reverse-proxy"",""tencent"",""vibe-coding"",""workbuddy"",""workbuddy2api""]","https://github.com/ardeyouxipianyi/workbuddy2api-hub","2026-09-12T09:03:40Z","2026-09-19T01:08:24Z","2026-09-18T14:31:23Z","git://github.com/ardeyouxipianyi/workbuddy2api-hub.git","git@github.com:ardeyouxipianyi/workbuddy2api-hub.git","https://github.com/ardeyouxipianyi/workbuddy2api-hub.git","https://github.com/ardeyouxipianyi/workbuddy2api-hub","https://github.com/ardeyouxipianyi/workbuddy2api-intl/releases",677,"Python",24,5,"main","MIT License"
"RectangleStory/Superpowers_Multi_AI",100,"RectangleStory","https://avatars.githubusercontent.com/u/319182333?v=4","⚡ Modular prompt-engineering framework for AI Agents (Cursor, Claude Code, Copilot). Forces structured SDLC, linear execution, context isolation, and systematic debugging via a standalone Windows launcher. Stop vibe coding, start agentic discipline! 🚀","[""ai"",""ai-agent"",""ai-agents"",""ai-coding"",""ai-tools"",""claude"",""claude-code"",""claude-skills"",""cursor"",""subagent-driven-development"",""superpowers""]","https://github.com/RectangleStory/Superpowers_Multi_AI","2026-09-14T20:11:30Z","2026-09-18T19:09:22Z","2026-09-14T20:19:56Z","git://github.com/RectangleStory/Superpowers_Multi_AI.git","git@github.com:RectangleStory/Superpowers_Multi_AI.git","https://github.com/RectangleStory/Superpowers_Multi_AI.git","https://github.com/RectangleStory/Superpowers_Multi_AI","",16,,0,0,"main","BSD 3-Clause ""New"" or ""Revised"" License"
"onmyway133/claude-code-tips-tricks",96,"onmyway133","https://avatars.githubusercontent.com/u/2284279?v=4","My favorite Claude Code tips & tricks","[""claude-code"",""mcp"",""skills"",""tips""]","https://github.com/onmyway133/claude-code-tips-tricks","2026-09-13T12:38:38Z","2026-09-18T05:20:11Z","2026-09-14T19:40:46Z","git://github.com/onmyway133/claude-code-tips-tricks.git","git@github.com:onmyway133/claude-code-tips-tricks.git","https://github.com/onmyway133/claude-code-tips-tricks.git","https://github.com/onmyway133/claude-code-tips-tricks","https://onmyway133.com",3085,,8,0,"main",
"mutonby/vibetube",66,"mutonby","https://avatars.githubusercontent.com/u/30499505?v=4","Desktop multicam recorder for macOS: records your screen and webcam in sync, then Claude Code or Codex edits the final video — shot selection, subtitles, graphics and SFX.","[""agentic-workflow"",""ai-agents"",""ai-video"",""background-removal"",""claude-code"",""codex"",""electron"",""ffmpeg"",""hyperframes"",""loom-alternative"",""macos"",""multicam"",""screen-recorder"",""screen-recording"",""teleprompter"",""tella"",""video-editing"",""video-generation"",""webcam"",""whisper""]","https://github.com/mutonby/vibetube","2026-09-15T13:41:36Z","2026-09-18T23:03:55Z","2026-09-15T15:07:32Z","git://github.com/mutonby/vibetube.git","git@github.com:mutonby/vibetube.git","https://github.com/mutonby/vibetube.git","https://github.com/mutonby/vibetube","",45721,"JavaScript",7,0,"main","MIT License"
"kina-cmd/agent-skill-sync",65,"kina-cmd","https://avatars.githubusercontent.com/u/54349349?v=4","Scan, classify (A/B/C/D) and sync AI-agent SKILL.md files across toolchains (Codex, Claude Code, WorkBuddy). Zero-dependency Python CLI.","[""ai-agents"",""claude-code"",""cli"",""codex"",""developer-tools"",""python"",""skills"",""sync""]","https://github.com/kina-cmd/agent-skill-sync","2026-09-12T01:50:30Z","2026-09-19T02:00:12Z","2026-09-12T04:08:28Z","git://github.com/kina-cmd/agent-skill-sync.git","git@github.com:kina-cmd/agent-skill-sync.git","https://github.com/kina-cmd/agent-skill-sync.git","https://github.com/kina-cmd/agent-skill-sync",,60,"Python",6,0,"main","MIT License"
"kunchenguid/compact-adviser",61,"kunchenguid","https://avatars.githubusercontent.com/u/3233006?v=4","""Work appears completed or recorded. Run /compact to save tokens.""","[""claude-code"",""claude-code-plugin"",""compaction"",""pi"",""pi-extension"",""typesafe""]","https://github.com/kunchenguid/compact-adviser","2026-09-17T19:56:13Z","2026-09-19T01:39:35Z","2026-09-18T23:11:46Z","git://github.com/kunchenguid/compact-adviser.git","git@github.com:kunchenguid/compact-adviser.git","https://github.com/kunchenguid/compact-adviser.git","https://github.com/kunchenguid/compact-adviser","https://github.com/kunchenguid/compact-adviser",793,"TypeScript",3,3,"main","MIT License"
"makifbaysal/tasktrooper",59,"makifbaysal","https://avatars.githubusercontent.com/u/25031940?v=4","Local-first agent platform: board + role agents + Claude Code runs, all on your own Mac","[""agentic-ai"",""ai-agents"",""autonomous-agents"",""claude"",""claude-code"",""coding-agents"",""cursor"",""developer-tools"",""devops-automation"",""electron"",""golang"",""issue-tracker"",""kanban"",""llm-agents"",""local-first"",""macos"",""mcp"",""multi-agent"",""opencode"",""software-factory""]","https://github.com/makifbaysal/tasktrooper","2026-09-14T12:45:52Z","2026-09-18T20:42:57Z","2026-09-18T20:42:53Z","git://github.com/makifbaysal/tasktrooper.git","git@github.com:makifbaysal/tasktrooper.git","https://github.com/makifbaysal/tasktrooper.git","https://github.com/makifbaysal/tasktrooper","https://tasktrooper.ai",12541,"Go",7,5,"main","Apache License 2.0"
