"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"s1dashu/ip-as-logo-skill",4141,"s1dashu","https://avatars.githubusercontent.com/u/129982137?v=4","A compact Agent Skill for highly simplified, rounded, subtly neo-skeuomorphic IP mascot logos.","[""codex"",""codex-skill"",""image-generation"",""logo-design"",""mascot-design""]","https://github.com/s1dashu/ip-as-logo-skill","2026-08-18T13:59:23Z","2026-08-25T01:59:54Z","2026-08-22T16:48:59Z","git://github.com/s1dashu/ip-as-logo-skill.git","git@github.com:s1dashu/ip-as-logo-skill.git","https://github.com/s1dashu/ip-as-logo-skill.git","https://github.com/s1dashu/ip-as-logo-skill","https://ipaslogo.com",29787,,202,7,"main","MIT License"
"cclank/lanshu-create-ai-presenter-video",838,"cclank","https://avatars.githubusercontent.com/u/29557585?v=4","Provider-neutral Codex Skill for producing verified AI presenter videos from a script and an authorized presenter image.","[""ai-video"",""codex"",""codex-skill"",""digital-human"",""video-generation""]","https://github.com/cclank/lanshu-create-ai-presenter-video","2026-08-20T13:40:06Z","2026-08-25T01:45:51Z","2026-08-20T13:40:14Z","git://github.com/cclank/lanshu-create-ai-presenter-video.git","git@github.com:cclank/lanshu-create-ai-presenter-video.git","https://github.com/cclank/lanshu-create-ai-presenter-video.git","https://github.com/cclank/lanshu-create-ai-presenter-video",,21,"Python",146,0,"main","MIT License"
"ShadowAqueduct/watermark-remover",773,"ShadowAqueduct","https://avatars.githubusercontent.com/u/311792326?v=4","Purge multi-vendor AI watermarks: clean Unicode text, apply statistical rewrite hooks, and clear C2PA plus metadata from PNG, JPEG, SVG, PDF, DOCX, HTML, and MD.","[""claude-ai"",""claude-code"",""claude-code-plugin"",""claude-skills"",""codex"",""codex-cli"",""codex-skill"",""codex-skills"",""watermark""]","https://github.com/ShadowAqueduct/watermark-remover","2026-08-23T21:14:28Z","2026-08-25T01:34:08Z","2026-08-23T22:07:11Z","git://github.com/ShadowAqueduct/watermark-remover.git","git@github.com:ShadowAqueduct/watermark-remover.git","https://github.com/ShadowAqueduct/watermark-remover.git","https://github.com/ShadowAqueduct/watermark-remover","",1803,"Python",73,6,"main","MIT License"
"LB623/no-negative-echo",350,"LB623","https://avatars.githubusercontent.com/u/248428362?v=4","让 Codex 根据最终结果生成标题、注释、commit 和 PR，减少被否决方案在交付中的残留。","[""agent-skills"",""chinese"",""codex"",""codex-skill"",""prompt-engineering""]","https://github.com/LB623/no-negative-echo","2026-08-21T10:12:54Z","2026-08-25T01:43:42Z","2026-08-24T07:26:03Z","git://github.com/LB623/no-negative-echo.git","git@github.com:LB623/no-negative-echo.git","https://github.com/LB623/no-negative-echo.git","https://github.com/LB623/no-negative-echo",,2918,"Python",8,1,"main","MIT License"
"rome-os/rome",295,"rome-os","https://avatars.githubusercontent.com/u/279501698?v=4","Rome is the agentic OS.","[""agent"",""agent-os"",""claude-code"",""codex"",""llm""]","https://github.com/rome-os/rome","2026-08-23T06:15:15Z","2026-08-25T01:50:50Z","2026-08-25T01:19:48Z","git://github.com/rome-os/rome.git","git@github.com:rome-os/rome.git","https://github.com/rome-os/rome.git","https://github.com/rome-os/rome","https://romeos.cc/",11365,"TypeScript",16,6,"main","MIT License"
"addyosmani/factory",128,"addyosmani","https://avatars.githubusercontent.com/u/110953?v=4","A reference software factory for Claude Code and Codex","[""agentic-engineering"",""claude-code"",""codex"",""software-factory""]","https://github.com/addyosmani/factory","2026-08-18T23:10:20Z","2026-08-24T19:16:16Z","2026-08-21T18:28:27Z","git://github.com/addyosmani/factory.git","git@github.com:addyosmani/factory.git","https://github.com/addyosmani/factory.git","https://github.com/addyosmani/factory",,127,"Shell",8,2,"main","MIT License"
"Jordanwei1/jiaojie-skill",104,"Jordanwei1","https://avatars.githubusercontent.com/u/87682056?v=4","交接 Skill（Jiaojie）：跨窗口、跨模型、跨设备、跨语言的 AI 上下文交接工具。换窗口，不失忆；换模型，不重来。Open-source AI context handoff.","[""agent-skills"",""ai-agent"",""ai-agents"",""ai-memory"",""claude-code"",""claude-code-skill"",""codex"",""codex-skill"",""context-engineering"",""context-handoff"",""cross-model"",""cursor"",""cursor-skills"",""gemini-cli"",""gemini-cli-skills"",""handoff"",""llm"",""open-source"",""openclaw"",""openclaw-skill""]","https://github.com/Jordanwei1/jiaojie-skill","2026-08-20T08:57:52Z","2026-08-24T08:26:11Z","2026-08-20T13:47:18Z","git://github.com/Jordanwei1/jiaojie-skill.git","git@github.com:Jordanwei1/jiaojie-skill.git","https://github.com/Jordanwei1/jiaojie-skill.git","https://github.com/Jordanwei1/jiaojie-skill","https://jordanwei1.github.io/jiaojie-skill/",3911,"Python",5,0,"main","MIT License"
"wangxin6x/AutoVideo-Agent",94,"wangxin6x","https://avatars.githubusercontent.com/u/206345670?v=4","Agent-friendly Markdown-to-video automation pipeline with reproducible rendering and pluggable media providers.","[""agent-skills"",""ai-agent"",""ai-video"",""codex"",""codex-cli"",""codex-skill"",""ffmpeg"",""python"",""video-automation"",""video-generation""]","https://github.com/wangxin6x/AutoVideo-Agent","2026-08-18T01:30:30Z","2026-08-24T23:14:09Z","2026-08-18T04:50:41Z","git://github.com/wangxin6x/AutoVideo-Agent.git","git@github.com:wangxin6x/AutoVideo-Agent.git","https://github.com/wangxin6x/AutoVideo-Agent.git","https://github.com/wangxin6x/AutoVideo-Agent",,84,"Python",3,12,"main","MIT License"
"yizhiyanhua-ai/fireworks-open-eli5",68,"yizhiyanhua-ai","https://avatars.githubusercontent.com/u/251871046?v=4","Evidence-aware interactive visual explainers for Codex and Claude Code.","[""agent-skills"",""claude-code"",""codex"",""eli5"",""offline-first"",""visualization""]","https://github.com/yizhiyanhua-ai/fireworks-open-eli5","2026-08-24T13:07:30Z","2026-08-25T01:59:03Z","2026-08-24T13:11:07Z","git://github.com/yizhiyanhua-ai/fireworks-open-eli5.git","git@github.com:yizhiyanhua-ai/fireworks-open-eli5.git","https://github.com/yizhiyanhua-ai/fireworks-open-eli5.git","https://github.com/yizhiyanhua-ai/fireworks-open-eli5",,587,"JavaScript",3,0,"main","Apache License 2.0"
"Akimiya-z/codex-guard",53,"Akimiya-z","https://avatars.githubusercontent.com/u/235628202?v=4","Quality gate for AI/Codex-generated pull requests: blocks TODO leftovers, leaked secrets, sloppy commits and red CI before they reach main.","[""ai"",""claude-code"",""code-review"",""codex"",""codex-plugin"",""coding-agent"",""copilot"",""dsh-plugin"",""github-action"",""openai-codex"",""quality-gate""]","https://github.com/Akimiya-z/codex-guard","2026-08-20T16:28:08Z","2026-08-24T23:32:05Z","2026-08-24T02:46:15Z","git://github.com/Akimiya-z/codex-guard.git","git@github.com:Akimiya-z/codex-guard.git","https://github.com/Akimiya-z/codex-guard.git","https://github.com/Akimiya-z/codex-guard","https://akimiya-z.github.io/codex-guard/",2397,"JavaScript",4,0,"main","MIT License"
