"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"Flaminis/Dalaran",77,"Flaminis","https://avatars.githubusercontent.com/u/20280711?v=4","Dalaran — Apache-2.0, robotics-first visualization and data infrastructure for multimodal time-series. ROS 2 native, reads existing .rrd recordings. A hard fork of Rerun.","[""apache2"",""computer-vision"",""lidar"",""pointcloud"",""python"",""robotics"",""ros2"",""rust"",""time-series"",""visualization""]","https://github.com/Flaminis/Dalaran","2026-08-07T09:37:32Z","2026-08-11T03:31:10Z","2026-08-07T16:35:52Z","git://github.com/Flaminis/Dalaran.git","git@github.com:Flaminis/Dalaran.git","https://github.com/Flaminis/Dalaran.git","https://github.com/Flaminis/Dalaran",,155230,"Rust",47,8,"main","Apache License 2.0"
"AhmadHassan-BTed/MotionShot",15,"AhmadHassan-BTed","https://avatars.githubusercontent.com/u/123323526?v=4","Camera app that freezes fast motion sequences into a single stroboscopic photo; powered by on-device computer vision, 2D stabilization, and manual exposure controls","[""action-camera"",""android"",""camerax"",""computer-vision"",""image-processing"",""jetpack-compose"",""kotlin"",""motion-overlay"",""motion-shot"",""stroboscopic-camera""]","https://github.com/AhmadHassan-BTed/MotionShot","2026-08-04T19:58:07Z","2026-08-10T16:13:26Z","2026-08-05T09:19:58Z","git://github.com/AhmadHassan-BTed/MotionShot.git","git@github.com:AhmadHassan-BTed/MotionShot.git","https://github.com/AhmadHassan-BTed/MotionShot.git","https://github.com/AhmadHassan-BTed/MotionShot","",8810,"Kotlin",0,0,"main","Other"
"antonio-gaskin/car-damage-detecting-MaskRCNN",9,"antonio-gaskin","https://avatars.githubusercontent.com/u/217666543?v=4","Flask app for car damage detection and repair cost estimation using Mask R-CNN","[""computer-vision"",""deep-learning"",""flask"",""image-annotation"",""instance-segmentation"",""mask-rcnn"",""object-detection"",""python"",""transfer-learning"",""vehicle-damage-detection""]","https://github.com/antonio-gaskin/car-damage-detecting-MaskRCNN","2026-08-06T04:46:03Z","2026-08-10T01:47:53Z","2026-08-06T04:50:04Z","git://github.com/antonio-gaskin/car-damage-detecting-MaskRCNN.git","git@github.com:antonio-gaskin/car-damage-detecting-MaskRCNN.git","https://github.com/antonio-gaskin/car-damage-detecting-MaskRCNN.git","https://github.com/antonio-gaskin/car-damage-detecting-MaskRCNN","",16216,"Python",0,0,"main","Apache License 2.0"
"antonio-gaskin/resnet-from-scratch-pytorch",9,"antonio-gaskin","https://avatars.githubusercontent.com/u/217666543?v=4","PyTorch project implementing ResNet architectures from scratch, including custom training experiments, architecture variants, and batch-size studies for optimal performance.","[""computer-vision"",""deep-learning"",""image-classification"",""machine-learning"",""neural-network"",""python"",""pytorch"",""research"",""resnet"",""training-experiments""]","https://github.com/antonio-gaskin/resnet-from-scratch-pytorch","2026-08-07T05:58:38Z","2026-08-10T01:34:55Z","2026-08-07T05:59:38Z","git://github.com/antonio-gaskin/resnet-from-scratch-pytorch.git","git@github.com:antonio-gaskin/resnet-from-scratch-pytorch.git","https://github.com/antonio-gaskin/resnet-from-scratch-pytorch.git","https://github.com/antonio-gaskin/resnet-from-scratch-pytorch","",6004,"Jupyter Notebook",0,0,"main",
"HereIsMuhammad/face-recognition-door-lock",9,"HereIsMuhammad","https://avatars.githubusercontent.com/u/181842184?v=4","Open-source face recognition door lock using Python, OpenCV, and Raspberry Pi.","[""computer-vision"",""dlib"",""door-lock"",""face-recognition-python"",""iot"",""open-cv"",""open-source"",""python"",""raspberry-pi""]","https://github.com/HereIsMuhammad/face-recognition-door-lock","2026-08-09T09:13:10Z","2026-08-09T20:54:54Z","2026-08-09T09:15:13Z","git://github.com/HereIsMuhammad/face-recognition-door-lock.git","git@github.com:HereIsMuhammad/face-recognition-door-lock.git","https://github.com/HereIsMuhammad/face-recognition-door-lock.git","https://github.com/HereIsMuhammad/face-recognition-door-lock","",56,"Python",1,0,"main","MIT License"
"Morteza-Asadi-Shalmaiy/Superres-fr",9,"Morteza-Asadi-Shalmaiy","https://avatars.githubusercontent.com/u/242933177?v=4","Convolutional autoencoder trained from scratch on CelebA faces — 128-dim latent space, full checkpoint/resume support, built to run end-to-end in Google Colab.","[""autoencoder"",""celeba"",""computer-vision"",""convolutional-neural-networks"",""deep-learning"",""google-colab"",""image-reconstruction"",""pytorch"",""unsupervised-learning""]","https://github.com/Morteza-Asadi-Shalmaiy/Superres-fr","2026-08-04T17:33:19Z","2026-08-11T01:35:10Z","2026-08-04T18:58:50Z","git://github.com/Morteza-Asadi-Shalmaiy/Superres-fr.git","git@github.com:Morteza-Asadi-Shalmaiy/Superres-fr.git","https://github.com/Morteza-Asadi-Shalmaiy/Superres-fr.git","https://github.com/Morteza-Asadi-Shalmaiy/Superres-fr","",425,"Jupyter Notebook",0,0,"main","MIT License"
"antonio-gaskin/image-captioning",9,"antonio-gaskin","https://avatars.githubusercontent.com/u/217666543?v=4","Image captioning using AI models to generate descriptive text from images","[""computer-vision"",""deep-learning"",""image-captioning"",""image-processing"",""machine-learning"",""nlp"",""python"",""vision-language-model""]","https://github.com/antonio-gaskin/image-captioning","2026-08-06T12:31:49Z","2026-08-10T01:41:14Z","2026-08-06T12:33:45Z","git://github.com/antonio-gaskin/image-captioning.git","git@github.com:antonio-gaskin/image-captioning.git","https://github.com/antonio-gaskin/image-captioning.git","https://github.com/antonio-gaskin/image-captioning","",16,"Jupyter Notebook",0,0,"main","GNU General Public License v3.0"
"Morteza-Asadi-Shalmaiy/antispoofing-fr",8,"Morteza-Asadi-Shalmaiy","https://avatars.githubusercontent.com/u/242933177?v=4","Convolutional VAE trained on CelebA — face reconstruction, prior-sampled generation, and latent-space interpolation in a single Colab notebook.","[""celeba"",""colab"",""computer-vision"",""deep-learning"",""face-generation"",""generative-models"",""latent-space"",""pytorch"",""vae"",""variational-autoencoder""]","https://github.com/Morteza-Asadi-Shalmaiy/antispoofing-fr","2026-08-04T10:56:59Z","2026-08-11T01:59:35Z","2026-08-04T11:53:54Z","git://github.com/Morteza-Asadi-Shalmaiy/antispoofing-fr.git","git@github.com:Morteza-Asadi-Shalmaiy/antispoofing-fr.git","https://github.com/Morteza-Asadi-Shalmaiy/antispoofing-fr.git","https://github.com/Morteza-Asadi-Shalmaiy/antispoofing-fr","",1717,"Jupyter Notebook",0,0,"main","MIT License"
"lwxhhh/AutoLabel",5,"lwxhhh","https://avatars.githubusercontent.com/u/86404016?v=4","基于 React、C++20、SQLite、RAM 与 GroundingDINO 的自动图像标注平台，支持同步/异步任务和 COCO/YOLO 导出。","[""computer-vision"",""cpp20"",""docker"",""groundingdino"",""image-annotation"",""ram"",""react"",""sqlite"",""typescript""]","https://github.com/lwxhhh/AutoLabel","2026-08-04T07:28:20Z","2026-08-05T07:40:11Z","2026-08-04T17:07:34Z","git://github.com/lwxhhh/AutoLabel.git","git@github.com:lwxhhh/AutoLabel.git","https://github.com/lwxhhh/AutoLabel.git","https://github.com/lwxhhh/AutoLabel",,201,"C++",0,0,"main","Apache License 2.0"
"parz0val0/scan-to-practice",5,"parz0val0","https://avatars.githubusercontent.com/u/296262244?v=4","Scan-to-Practice: a field-tested AI skill and methodology for turning scanned learning materials into structured practice products.","[""ai-skill"",""computer-vision"",""data-pipeline"",""document-ai"",""education"",""electron"",""knowledge-base"",""ocr"",""product-design"",""quality-assurance""]","https://github.com/parz0val0/scan-to-practice","2026-08-09T04:54:09Z","2026-08-11T01:57:55Z","2026-08-09T05:57:45Z","git://github.com/parz0val0/scan-to-practice.git","git@github.com:parz0val0/scan-to-practice.git","https://github.com/parz0val0/scan-to-practice.git","https://github.com/parz0val0/scan-to-practice","",258,,0,0,"main","MIT License"
