"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"consize-oss/consize",9,"consize-oss","https://avatars.githubusercontent.com/u/326664993?v=4","The automated safety engine for Kubernetes cost optimization. Consize safely rightsizes workloads using guarded rollouts and automated SLI-verified rollbacks ✅","[""aws"",""database"",""finops"",""gcp"",""kubernetes"",""observability""]","https://github.com/consize-oss/consize","2026-09-08T20:22:28Z","2026-09-14T01:44:38Z","2026-09-11T19:03:38Z","git://github.com/consize-oss/consize.git","git@github.com:consize-oss/consize.git","https://github.com/consize-oss/consize.git","https://github.com/consize-oss/consize","",2731,"Go",5,3,"main","Apache License 2.0"
"harshitthek/SQL_Engine",3,"harshitthek","https://avatars.githubusercontent.com/u/164781433?v=4","Production Text-to-SQL engine fine-tuned on Spider with Qwen2.5-Coder-1.5B (QLoRA), multi-database execution, FastAPI serving, and Gradio workstation UI.","[""database"",""fastapi"",""gradio"",""postgresql"",""pytorch"",""qlora"",""qwen2-5"",""spider-benchmark"",""sqlite"",""text-to-sql""]","https://github.com/harshitthek/SQL_Engine","2026-09-11T13:35:43Z","2026-09-13T19:50:38Z","2026-09-13T19:50:34Z","git://github.com/harshitthek/SQL_Engine.git","git@github.com:harshitthek/SQL_Engine.git","https://github.com/harshitthek/SQL_Engine.git","https://github.com/harshitthek/SQL_Engine","https://text-to-sql.here-2007.workers.dev/",369,"Python",0,0,"main",
"Barman-Zarei/digishop",2,"Barman-Zarei","https://avatars.githubusercontent.com/u/304935001?v=4","it is an offline shop","[""api"",""backend"",""database"",""digital"",""django"",""image-processing"",""json"",""kivy"",""postgresql"",""pricing"",""rest-api"",""shop"",""sql""]","https://github.com/Barman-Zarei/digishop","2026-09-07T10:43:42Z","2026-09-13T09:50:23Z","2026-09-13T09:50:44Z","git://github.com/Barman-Zarei/digishop.git","git@github.com:Barman-Zarei/digishop.git","https://github.com/Barman-Zarei/digishop.git","https://github.com/Barman-Zarei/digishop","",77,"Python",0,0,"master",
"AnimaMagnus/finance-tracker-app",2,"AnimaMagnus","https://avatars.githubusercontent.com/u/275102903?v=4","A full-stack, containerized web application for tracking personal finances, built with Python.","[""data-analysis"",""data-science"",""data-visualization"",""database"",""python"",""sqlite3""]","https://github.com/AnimaMagnus/finance-tracker-app","2026-09-07T12:00:02Z","2026-09-13T06:53:06Z","2026-09-07T12:00:48Z","git://github.com/AnimaMagnus/finance-tracker-app.git","git@github.com:AnimaMagnus/finance-tracker-app.git","https://github.com/AnimaMagnus/finance-tracker-app.git","https://github.com/AnimaMagnus/finance-tracker-app","",4,"Python",0,0,"main",
"victor-lis-bronzo/prisma-true-rollback-cli",2,"victor-lis-bronzo","https://avatars.githubusercontent.com/u/109773129?v=4","CLI for a true, destructive rollback of the most recently applied Prisma migration in development environments.","[""cli"",""database"",""database-migrations"",""developer-tools"",""migration"",""mysql"",""nodejs"",""npx"",""orm"",""postgresql"",""prisma"",""prisma-migrate"",""rollback"",""sqlite"",""typescript""]","https://github.com/victor-lis-bronzo/prisma-true-rollback-cli","2026-09-09T11:07:01Z","2026-09-10T23:36:13Z","2026-09-10T23:10:54Z","git://github.com/victor-lis-bronzo/prisma-true-rollback-cli.git","git@github.com:victor-lis-bronzo/prisma-true-rollback-cli.git","https://github.com/victor-lis-bronzo/prisma-true-rollback-cli.git","https://github.com/victor-lis-bronzo/prisma-true-rollback-cli","https://www.npmjs.com/package/prisma-true-rollback-cli",227,"TypeScript",0,0,"main","MIT License"
"thekeny/kvllay",2,"thekeny","https://avatars.githubusercontent.com/u/100033213?v=4","In-memory key-value store","[""cache"",""caching"",""cpp"",""database"",""in-memory"",""key-value"",""storage""]","https://github.com/thekeny/kvllay","2026-09-11T14:49:07Z","2026-09-13T20:46:48Z","2026-09-13T20:46:43Z","git://github.com/thekeny/kvllay.git","git@github.com:thekeny/kvllay.git","https://github.com/thekeny/kvllay.git","https://github.com/thekeny/kvllay","https://thekeny.github.io/kvllay/",3259,"C++",0,0,"main","MIT License"
"here-2007/SQL_Engine",2,"here-2007","https://avatars.githubusercontent.com/u/187404977?v=4","Production Text-to-SQL engine fine-tuned on Spider with Qwen2.5-Coder-1.5B (QLoRA), multi-database execution, FastAPI serving, and Gradio workstation UI.","[""database"",""docker"",""finetuning-llms"",""gradio"",""huggingface"",""pytorch"",""qlora"",""quantization"",""qwen2-5"",""sql"",""text-to-sql""]","https://github.com/here-2007/SQL_Engine","2026-09-07T07:27:37Z","2026-09-13T19:50:45Z","2026-09-13T19:50:41Z","git://github.com/here-2007/SQL_Engine.git","git@github.com:here-2007/SQL_Engine.git","https://github.com/here-2007/SQL_Engine.git","https://github.com/here-2007/SQL_Engine","https://text-to-sql.here-2007.workers.dev/",447,"Python",0,0,"main",
"DrAdrianDC/document_AI_pipelines",1,"DrAdrianDC","https://avatars.githubusercontent.com/u/157868503?v=4","Document AI pipelines that turn messy PDFs and HTML into contract-tested JSONL corpora. First two projects: FDA oncology approvals (318) and pharmacogenomic biomarker labels (597), with a scored BM25 baseline and byte-identical CI rebuilds.","[""data-engineering"",""data-pipelines"",""database"",""document-ai"",""fda"",""healthcare-ai"",""information-retrieval"",""nlp"",""python""]","https://github.com/DrAdrianDC/document_AI_pipelines","2026-09-11T09:03:18Z","2026-09-11T09:34:50Z","2026-09-11T09:07:06Z","git://github.com/DrAdrianDC/document_AI_pipelines.git","git@github.com:DrAdrianDC/document_AI_pipelines.git","https://github.com/DrAdrianDC/document_AI_pipelines.git","https://github.com/DrAdrianDC/document_AI_pipelines","",7310,"Python",0,0,"main","MIT License"
"ronakgh97/mini-db",1,"ronakgh97","https://avatars.githubusercontent.com/u/219775283?v=4","Unfathomably fast key/value storage with WAL backend","[""database"",""database-design"",""keyvaluestore"",""performance-engineering"",""write-ahead-log""]","https://github.com/ronakgh97/mini-db","2026-09-09T16:16:05Z","2026-09-11T12:13:09Z","2026-09-11T12:13:04Z","git://github.com/ronakgh97/mini-db.git","git@github.com:ronakgh97/mini-db.git","https://github.com/ronakgh97/mini-db.git","https://github.com/ronakgh97/mini-db","",156,"Rust",0,0,"master",
"markbryson/smartstock-inventory-management",1,"markbryson","https://avatars.githubusercontent.com/u/285007539?v=4","Python and SQLite inventory management system for products, sales, users, and reporting.","[""crud"",""database"",""datamanagement"",""desktop-application"",""inventory-management"",""inventory-system"",""python"",""software-engineering"",""sqlite""]","https://github.com/markbryson/smartstock-inventory-management","2026-09-11T09:12:07Z","2026-09-11T21:39:30Z","2026-09-11T09:55:29Z","git://github.com/markbryson/smartstock-inventory-management.git","git@github.com:markbryson/smartstock-inventory-management.git","https://github.com/markbryson/smartstock-inventory-management.git","https://github.com/markbryson/smartstock-inventory-management","",14,"Python",0,0,"main","MIT License"
