"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"qwdwqfwq/topconf-paper-figure-gallery",280,"qwdwqfwq","https://avatars.githubusercontent.com/u/166132677?v=4","A searchable gallery of well-designed Figure 1 / teaser figures from ICLR, ICML, NeurIPS, CVPR, ACL, AAAI (2023-2025) — 2,298 curated figures for paper-overview inspiration. Pure static site.","[""aaai"",""academic-writing"",""acl"",""awesome-list"",""computer-vision"",""cvpr"",""data-visualization"",""deep-learning"",""figure"",""gallery"",""iclr"",""icml"",""inspiration"",""machine-learning"",""neurips"",""nlp"",""paper-figures"",""paper-writing"",""research"",""scientific-figures""]","https://github.com/qwdwqfwq/topconf-paper-figure-gallery","2026-09-17T15:40:52Z","2026-09-22T01:40:51Z","2026-09-21T08:52:29Z","git://github.com/qwdwqfwq/topconf-paper-figure-gallery.git","git@github.com:qwdwqfwq/topconf-paper-figure-gallery.git","https://github.com/qwdwqfwq/topconf-paper-figure-gallery.git","https://github.com/qwdwqfwq/topconf-paper-figure-gallery","https://qwdwqfwq.github.io/topconf-paper-figure-gallery/",310114,"Python",21,1,"main","Other"
"Heman10x-NGU/openJev-verdict-2.0",240,"Heman10x-NGU","https://avatars.githubusercontent.com/u/80228113?v=4","Calibrated 151M Non-Autoregressive Decision Engine beating TypeSafe Jev & Laya on LocalLLaMA/typed-decisions (77.10% acc, 0.0636 Brier, 0.0144 ECE)","[""agentic-ai"",""brier-score"",""calibration"",""decision-engine"",""deep-learning"",""encoder"",""jev"",""machine-learning"",""modernbert"",""non-autoregressive"",""onnx"",""openjev"",""rlcd"",""selective-prediction"",""structured-outputs"",""system-one"",""text-classification"",""typesafe-ai"",""uncertainty-quantification"",""webgpu""]","https://github.com/Heman10x-NGU/openJev-verdict-2.0","2026-09-19T12:14:46Z","2026-09-22T01:28:30Z","2026-09-20T14:54:40Z","git://github.com/Heman10x-NGU/openJev-verdict-2.0.git","git@github.com:Heman10x-NGU/openJev-verdict-2.0.git","https://github.com/Heman10x-NGU/openJev-verdict-2.0.git","https://github.com/Heman10x-NGU/openJev-verdict-2.0","https://heman10x-ngu.github.io/openJev-verdict-2.0/",15704,"Python",37,2,"main","Other"
"lucidrains/stack-attention",12,"lucidrains","https://avatars.githubusercontent.com/u/108653?v=4","For following a line of research that augments attention with a differentiable stack, beginning with DuSell et al. at ETH Zurich","[""artificial-intelligence"",""attention-mechanism"",""deep-learning"",""differentiable-stack""]","https://github.com/lucidrains/stack-attention","2026-09-17T17:21:32Z","2026-09-22T01:52:51Z","2026-09-21T14:09:19Z","git://github.com/lucidrains/stack-attention.git","git@github.com:lucidrains/stack-attention.git","https://github.com/lucidrains/stack-attention.git","https://github.com/lucidrains/stack-attention","",58,"Python",1,0,"main","MIT License"
"Ch3nOff/dual-loop-controller",10,"Ch3nOff","https://avatars.githubusercontent.com/u/149665445?v=4","Hardware-aligned latent deliberation framework decoupling System 2 continuous reasoning from System 1 autoregressive decoding.  ","[""deep-learning"",""hardware-aware"",""latent-reasoning"",""llm-architecture"",""mixture-of-depths"",""open-source"",""pytorch"",""system-2"",""test-time-compute"",""transformers""]","https://github.com/Ch3nOff/dual-loop-controller","2026-09-15T06:45:11Z","2026-09-21T09:44:33Z","2026-09-18T06:52:40Z","git://github.com/Ch3nOff/dual-loop-controller.git","git@github.com:Ch3nOff/dual-loop-controller.git","https://github.com/Ch3nOff/dual-loop-controller.git","https://github.com/Ch3nOff/dual-loop-controller","",26840,"Python",2,0,"main","Other"
"KeWang0622/mri-research-skill",10,"KeWang0622","https://avatars.githubusercontent.com/u/30745273?v=4","A curated, verified knowledge hub for MRI research — physics, acquisition, reconstruction, analysis, quantitative MRI, spectroscopy, and hardware. Install: npx skills add KeWang0622/mri-research-skill","[""agent-skills"",""bart"",""compressed-sensing"",""computational-imaging"",""deep-learning"",""diffusion-models"",""diffusion-mri"",""fmri"",""image-reconstruction"",""ismrmrd"",""k-space"",""magnetic-resonance-imaging"",""medical-imaging"",""mri"",""mri-reconstruction"",""neuroimaging"",""parallel-imaging"",""quantitative-mri""]","https://github.com/KeWang0622/mri-research-skill","2026-09-19T22:57:45Z","2026-09-22T01:42:19Z","2026-09-20T06:41:07Z","git://github.com/KeWang0622/mri-research-skill.git","git@github.com:KeWang0622/mri-research-skill.git","https://github.com/KeWang0622/mri-research-skill.git","https://github.com/KeWang0622/mri-research-skill",,121,"Shell",0,0,"main","MIT License"
"Correr-Zhou/PackLab",7,"Correr-Zhou","https://avatars.githubusercontent.com/u/42346902?v=4","Offical Implementation of ""PackLab: A Comprehensive Framework for Developing, Training, and Evaluating MLLMs in Robotic Bin Packing""","[""deep-learning"",""large-language-models"",""multi-modal-large-language-model"",""robotics""]","https://github.com/Correr-Zhou/PackLab","2026-09-20T18:26:24Z","2026-09-21T16:53:28Z","2026-09-20T18:29:29Z","git://github.com/Correr-Zhou/PackLab.git","git@github.com:Correr-Zhou/PackLab.git","https://github.com/Correr-Zhou/PackLab.git","https://github.com/Correr-Zhou/PackLab","",6230,"Python",0,0,"main",
"EimanTahir027/Neural-Networks-and-Deep-Learning-Fundamentals",4,"EimanTahir027","https://avatars.githubusercontent.com/u/277070735?v=4","A structured, hands-on guide to neural networks and deep learning fundamentals, covering forward propagation, activation functions, backpropagation, optimization, TensorFlow, Keras, PyTorch, and CIFAR-10 image classification.","[""activation-function-exploration"",""backward-propagation"",""cifar10"",""deep-learning"",""forward-propagation"",""gradient-descent"",""keras"",""keras-neural-networks"",""loss-functions"",""neural-networks"",""optimization"",""pytorch"",""tensorflow""]","https://github.com/EimanTahir027/Neural-Networks-and-Deep-Learning-Fundamentals","2026-09-16T17:32:56Z","2026-09-21T14:39:50Z","2026-09-21T14:39:49Z","git://github.com/EimanTahir027/Neural-Networks-and-Deep-Learning-Fundamentals.git","git@github.com:EimanTahir027/Neural-Networks-and-Deep-Learning-Fundamentals.git","https://github.com/EimanTahir027/Neural-Networks-and-Deep-Learning-Fundamentals.git","https://github.com/EimanTahir027/Neural-Networks-and-Deep-Learning-Fundamentals","",9309,"Python",0,0,"main","MIT License"
"arielshakaramiro/semantic-segmentation-unet",4,"arielshakaramiro","https://avatars.githubusercontent.com/u/217843780?v=4","U-Net semantic segmentation on CARLA driving-scene images, built from scratch in PyTorch and served through a FastAPI endpoint.","[""autonomous-driving"",""carla-simulator"",""computer-vision"",""deep-learning"",""fastapi"",""image-segmentation"",""pytorch"",""sematic-segmentation"",""unet""]","https://github.com/arielshakaramiro/semantic-segmentation-unet","2026-09-15T07:47:48Z","2026-09-18T17:20:22Z","2026-09-18T17:20:18Z","git://github.com/arielshakaramiro/semantic-segmentation-unet.git","git@github.com:arielshakaramiro/semantic-segmentation-unet.git","https://github.com/arielshakaramiro/semantic-segmentation-unet.git","https://github.com/arielshakaramiro/semantic-segmentation-unet","",638,"Jupyter Notebook",0,0,"main","MIT License"
"umfieldrobotics/SurfSLAM_Stereo",3,"umfieldrobotics","https://avatars.githubusercontent.com/u/78610592?v=4","Stereo Training and Inference Code for SurfSLAM: Sim-to-Real Underwater Stereo Reconstruction for Real-Time SLAM","[""deep-learning"",""marine-robotics"",""stereo-vision""]","https://github.com/umfieldrobotics/SurfSLAM_Stereo","2026-09-18T14:04:56Z","2026-09-20T11:49:10Z","2026-09-18T14:10:15Z","git://github.com/umfieldrobotics/SurfSLAM_Stereo.git","git@github.com:umfieldrobotics/SurfSLAM_Stereo.git","https://github.com/umfieldrobotics/SurfSLAM_Stereo.git","https://github.com/umfieldrobotics/SurfSLAM_Stereo","https://umfieldrobotics.github.io/SurfSLAM/",99261,"Python",0,0,"main",
"lucidrains/crowdego-hub",3,"lucidrains","https://avatars.githubusercontent.com/u/108653?v=4","A long term project that will allow for groups of individuals around the world to pool egocentric dexterity demonstrations for various tasks, for training their own large behavioral models","[""artificial-intelligence"",""deep-learning"",""large-behavioral-models""]","https://github.com/lucidrains/crowdego-hub","2026-09-16T14:59:34Z","2026-09-19T13:10:42Z","2026-09-17T14:59:21Z","git://github.com/lucidrains/crowdego-hub.git","git@github.com:lucidrains/crowdego-hub.git","https://github.com/lucidrains/crowdego-hub.git","https://github.com/lucidrains/crowdego-hub","",138,"Python",0,0,"main","MIT License"
