"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"bradfrost/skills",6,"bradfrost","https://avatars.githubusercontent.com/u/383701?v=4","Brad Frost's agent skills to help with different dimensions of work and life","[""ai-skills"",""design"",""design-system"",""design-systems"",""design-tokens"",""designer"",""mental-health""]","https://github.com/bradfrost/skills","2026-08-26T04:00:34Z","2026-08-31T19:11:15Z","2026-08-30T16:48:36Z","git://github.com/bradfrost/skills.git","git@github.com:bradfrost/skills.git","https://github.com/bradfrost/skills.git","https://github.com/bradfrost/skills","",188,"Shell",0,4,"main","MIT License"
"NEURAL-Y/RAZORDEL-CSS",2,"NEURAL-Y","https://avatars.githubusercontent.com/u/191564229?v=4","RazorDelCSS makes styling more structured and developer-friendly while ensuring that detected errors stop compilation, helping developers catch problems before broken CSS is generated.","[""css"",""design"",""frontend"",""nodejs"",""style"",""typescript""]","https://github.com/NEURAL-Y/RAZORDEL-CSS","2026-08-28T17:44:38Z","2026-08-31T17:53:55Z","2026-08-31T17:20:53Z","git://github.com/NEURAL-Y/RAZORDEL-CSS.git","git@github.com:NEURAL-Y/RAZORDEL-CSS.git","https://github.com/NEURAL-Y/RAZORDEL-CSS.git","https://github.com/NEURAL-Y/RAZORDEL-CSS","https://razordelcss.pages.dev",958,,0,0,"main","Apache License 2.0"
"mcbbugu/aftertaste",1,"mcbbugu","https://avatars.githubusercontent.com/u/35242765?v=4","Your agent shipped. Aftertaste checks whether the UI still looks like everyone else's.","[""agent-skills"",""cli"",""cursor"",""cursor-skills"",""design"",""frontend"",""playwright"",""typescript""]","https://github.com/mcbbugu/aftertaste","2026-08-27T08:06:12Z","2026-08-27T09:57:16Z","2026-08-27T09:52:14Z","git://github.com/mcbbugu/aftertaste.git","git@github.com:mcbbugu/aftertaste.git","https://github.com/mcbbugu/aftertaste.git","https://github.com/mcbbugu/aftertaste",,460,"TypeScript",0,0,"main","MIT License"
"sva-admin/sv-academy-prom-design",1,"sva-admin","https://avatars.githubusercontent.com/u/308058533?v=4","Ready-to-use design taste for Claude Code, Cowork, and Cursor. Prom = Thai for ready. Learn free at loop.sv-academy.org","[""agent-skills"",""anti-slop"",""claude"",""claude-code"",""cursor"",""design"",""design-system"",""landing-page"",""skills"",""ui""]","https://github.com/sva-admin/sv-academy-prom-design","2026-08-28T07:42:33Z","2026-08-31T19:34:29Z","2026-08-31T19:32:20Z","git://github.com/sva-admin/sv-academy-prom-design.git","git@github.com:sva-admin/sv-academy-prom-design.git","https://github.com/sva-admin/sv-academy-prom-design.git","https://github.com/sva-admin/sv-academy-prom-design","https://loop.sv-academy.org",18837,"JavaScript",0,0,"main","MIT License"
"nevertoday/xxd-panel-059",1,"nevertoday","https://avatars.githubusercontent.com/u/166048?v=4","Turn photographs into warm, childlike, quietly humorous picture-book fables.","[""codex-skill"",""design"",""gpt-image"",""image-generation"",""xxd-panel""]","https://github.com/nevertoday/xxd-panel-059","2026-08-25T09:57:44Z","2026-09-01T00:26:41Z","2026-09-01T00:26:10Z","git://github.com/nevertoday/xxd-panel-059.git","git@github.com:nevertoday/xxd-panel-059.git","https://github.com/nevertoday/xxd-panel-059.git","https://github.com/nevertoday/xxd-panel-059",,22865,"Python",1,0,"main",
"Juuzoe/stop-design-slop",1,"Juuzoe","https://avatars.githubusercontent.com/u/192473075?v=4","Agent skill for Claude Code and Codex that strips the AI fingerprints from a website without restyling it. Five tiers of removal, 284 catalogued tells, 13 art directions if you want the redesign.","[""agent-skill"",""agent-skills"",""ai"",""ai-slop"",""anthropic"",""claude"",""claude-code"",""claude-skills"",""codex"",""design"",""design-audit"",""frontend"",""landing-page"",""openai-codex"",""skills"",""tailwindcss"",""ui-design"",""ux"",""vibe-coding"",""web-design""]","https://github.com/Juuzoe/stop-design-slop","2026-08-28T18:55:05Z","2026-08-30T04:54:14Z","2026-08-30T04:53:33Z","git://github.com/Juuzoe/stop-design-slop.git","git@github.com:Juuzoe/stop-design-slop.git","https://github.com/Juuzoe/stop-design-slop.git","https://github.com/Juuzoe/stop-design-slop","",2584,,0,0,"main","MIT License"
"nevertoday/xxd-panel-057",1,"nevertoday","https://avatars.githubusercontent.com/u/166048?v=4","Reconstruct photographs through geometric composition and intelligent mosaic structure with XXD Panel 057.","[""codex-skill"",""design"",""gpt-image"",""image-generation"",""xxd-panel""]","https://github.com/nevertoday/xxd-panel-057","2026-08-25T09:12:47Z","2026-09-01T00:26:23Z","2026-09-01T00:26:09Z","git://github.com/nevertoday/xxd-panel-057.git","git@github.com:nevertoday/xxd-panel-057.git","https://github.com/nevertoday/xxd-panel-057.git","https://github.com/nevertoday/xxd-panel-057",,18120,"Python",1,0,"main",
"sokna492-km/poster-canvas",1,"sokna492-km","https://avatars.githubusercontent.com/u/231609308?v=4","Design poster with codes","[""ai"",""code"",""design"",""poster"",""poster-design""]","https://github.com/sokna492-km/poster-canvas","2026-08-29T05:00:15Z","2026-08-30T12:24:24Z","2026-08-30T12:23:55Z","git://github.com/sokna492-km/poster-canvas.git","git@github.com:sokna492-km/poster-canvas.git","https://github.com/sokna492-km/poster-canvas.git","https://github.com/sokna492-km/poster-canvas","https://krumath.com/poster-canvas/",1177,"TypeScript",0,0,"main","MIT License"
"devgabrielporto07/Project-PharmacyBy-Design",1,"devgabrielporto07","https://avatars.githubusercontent.com/u/180233334?v=4","Projeto da Disciplina de Ui/Ux Design","[""design"",""jira-integration"",""mobile-app"",""project-management"",""trello-board"",""ui"",""ux"",""website""]","https://github.com/devgabrielporto07/Project-PharmacyBy-Design","2026-08-28T22:01:07Z","2026-08-28T23:57:52Z","2026-08-28T22:08:32Z","git://github.com/devgabrielporto07/Project-PharmacyBy-Design.git","git@github.com:devgabrielporto07/Project-PharmacyBy-Design.git","https://github.com/devgabrielporto07/Project-PharmacyBy-Design.git","https://github.com/devgabrielporto07/Project-PharmacyBy-Design","",0,,0,0,"main","Other"
"miidaystudio/momentum",0,"miidaystudio","https://avatars.githubusercontent.com/u/319430752?v=4","MOMENTUM is an award-winning, editorial adventure discovery platform powered by live OpenTripMap API telemetry. It features a full-bleed cinematic search hero, a GSAP ScrollTrigger-pinned horizontal expedition trail map.","[""design"",""gsap"",""maps"",""pages"",""website-template""]","https://github.com/miidaystudio/momentum","2026-08-27T11:27:39Z","2026-08-27T14:22:48Z","2026-08-27T14:06:51Z","git://github.com/miidaystudio/momentum.git","git@github.com:miidaystudio/momentum.git","https://github.com/miidaystudio/momentum.git","https://github.com/miidaystudio/momentum","",1662,"JavaScript",0,0,"main",
"evil-browser/brand",0,"evil-browser","https://avatars.githubusercontent.com/u/322814483?v=4","Brand assets for evil: logo, avatars, social card","[""branding"",""design"",""logo""]","https://github.com/evil-browser/brand","2026-08-30T15:51:52Z","2026-08-30T15:54:58Z","2026-08-30T15:54:38Z","git://github.com/evil-browser/brand.git","git@github.com:evil-browser/brand.git","https://github.com/evil-browser/brand.git","https://github.com/evil-browser/brand",,267,,0,0,"main",
"adiron/dear-internet",0,"adiron","https://avatars.githubusercontent.com/u/117650?v=4","A pixelated cursive font.","[""design"",""fonts""]","https://github.com/adiron/dear-internet","2026-08-30T07:42:04Z","2026-08-30T10:09:45Z","2026-08-30T10:08:01Z","git://github.com/adiron/dear-internet.git","git@github.com:adiron/dear-internet.git","https://github.com/adiron/dear-internet.git","https://github.com/adiron/dear-internet","",691,"Python",0,0,"main","Other"
"pelagiasvare/47_Capstone_Sprint_1_Design",0,"pelagiasvare","https://avatars.githubusercontent.com/u/267253405?v=4","Capstone Sprint 1: finalized design documents and AI plan.","[""architecture"",""capstone"",""design"",""planning""]","https://github.com/pelagiasvare/47_Capstone_Sprint_1_Design","2026-08-26T09:15:07Z","2026-08-26T11:43:11Z","2026-08-26T10:35:57Z","git://github.com/pelagiasvare/47_Capstone_Sprint_1_Design.git","git@github.com:pelagiasvare/47_Capstone_Sprint_1_Design.git","https://github.com/pelagiasvare/47_Capstone_Sprint_1_Design.git","https://github.com/pelagiasvare/47_Capstone_Sprint_1_Design","",1,,0,0,"main",
"MhmmdFaizal04/css-animations-collection",0,"MhmmdFaizal04","https://avatars.githubusercontent.com/u/150410583?v=4","100+ Pure CSS Animations — Copy, paste, and animate. Minimal, clean, ready to use.","[""animation"",""css"",""css-animations"",""css3"",""design"",""developer-tools"",""frontend"",""html-css"",""keyframes"",""loading-animation"",""minimal"",""open-source"",""pure-css"",""ui"",""web-design""]","https://github.com/MhmmdFaizal04/css-animations-collection","2026-08-29T18:28:01Z","2026-08-29T18:49:27Z","2026-08-29T18:49:24Z","git://github.com/MhmmdFaizal04/css-animations-collection.git","git@github.com:MhmmdFaizal04/css-animations-collection.git","https://github.com/MhmmdFaizal04/css-animations-collection.git","https://github.com/MhmmdFaizal04/css-animations-collection",,34,"CSS",0,0,"main",
"nevertoday/xxd-panel-058",0,"nevertoday","https://avatars.githubusercontent.com/u/166048?v=4","Turn photographic subtext into poetic conceptual landscapes through rigorous geometry and soft handmade texture.","[""codex-skill"",""design"",""gpt-image"",""image-generation"",""xxd-panel""]","https://github.com/nevertoday/xxd-panel-058","2026-08-25T09:57:36Z","2026-09-01T00:31:42Z","2026-09-01T00:26:10Z","git://github.com/nevertoday/xxd-panel-058.git","git@github.com:nevertoday/xxd-panel-058.git","https://github.com/nevertoday/xxd-panel-058.git","https://github.com/nevertoday/xxd-panel-058",,21190,"Python",1,0,"main",
"irondevelopersheave/coreldraw-2026",0,"irondevelopersheave","https://avatars.githubusercontent.com/u/314879815?v=4","CorelDRAW 2026 for Windows – a professional graphic design and vector illustration software for creating logos, illustrations, layouts, typography, and print-ready artwork. Explore powerful vector tools, page layout features, color management, and professional design workflows.","[""design"",""digital-art"",""graphic-design"",""illustration"",""print-design"",""vector-design"",""vector-graphics"",""windows""]","https://github.com/irondevelopersheave/coreldraw-2026","2026-08-27T11:09:38Z","2026-08-27T11:16:25Z","2026-08-27T11:13:04Z","git://github.com/irondevelopersheave/coreldraw-2026.git","git@github.com:irondevelopersheave/coreldraw-2026.git","https://github.com/irondevelopersheave/coreldraw-2026.git","https://github.com/irondevelopersheave/coreldraw-2026","",12,,0,0,"main",
"michaelmonetized/omadesign",0,"michaelmonetized","https://avatars.githubusercontent.com/u/162010215?v=4","Native Linux studio for design, paint, and photograph","[""asahi"",""design"",""illustration"",""linux"",""photography"",""raster"",""rust"",""vector""]","https://github.com/michaelmonetized/omadesign","2026-08-26T13:47:19Z","2026-08-30T03:39:59Z","2026-08-30T03:39:54Z","git://github.com/michaelmonetized/omadesign.git","git@github.com:michaelmonetized/omadesign.git","https://github.com/michaelmonetized/omadesign.git","https://github.com/michaelmonetized/omadesign",,5417,"Rust",0,0,"master","MIT License"
"joaorrios/awesome-ai-design",0,"joaorrios","https://avatars.githubusercontent.com/u/160074632?v=4","Curated list of AI design resources: component libraries, animated icons, design skills for coding agents, and AI-native design tools","[""ai"",""ai-tools"",""awesome-list"",""claude-code"",""cursor"",""design"",""design-systems"",""ui""]","https://github.com/joaorrios/awesome-ai-design","2026-08-25T19:33:55Z","2026-08-25T19:34:19Z","2026-08-25T19:34:01Z","git://github.com/joaorrios/awesome-ai-design.git","git@github.com:joaorrios/awesome-ai-design.git","https://github.com/joaorrios/awesome-ai-design.git","https://github.com/joaorrios/awesome-ai-design",,7,,0,0,"main",
"mishk22555-ux/Cyber-UI",0,"mishk22555-ux","https://avatars.githubusercontent.com/u/321678785?v=4","A modern responsive e-commerce website built with HTML and CSS, based on an E-Commerce UI Kit design from Figma.","[""css"",""css-flex"",""css-flexbox"",""css3"",""design"",""figma"",""frontend"",""git"",""github"",""gitignore"",""html"",""html-css"",""html5"",""html5-css3"",""ico"",""makefile"",""markdown"",""png"",""readme"",""ui""]","https://github.com/mishk22555-ux/Cyber-UI","2026-08-31T13:38:34Z","2026-08-31T13:48:41Z","2026-08-31T13:41:22Z","git://github.com/mishk22555-ux/Cyber-UI.git","git@github.com:mishk22555-ux/Cyber-UI.git","https://github.com/mishk22555-ux/Cyber-UI.git","https://github.com/mishk22555-ux/Cyber-UI","https://mishk22555-ux.github.io/Cyber-UI/",602,"CSS",0,0,"main",
"priyanshugupta2468-netizen/markforge",0,"priyanshugupta2468-netizen","https://avatars.githubusercontent.com/u/321620892?v=4","Generative brand-identity forge. Seeded geometric marks with bloom, sparks, and PNG export.","[""branding"",""canvas"",""design"",""generative-art"",""glassmorphism""]","https://github.com/priyanshugupta2468-netizen/markforge","2026-08-27T03:39:47Z","2026-08-27T03:42:07Z","2026-08-27T03:39:51Z","git://github.com/priyanshugupta2468-netizen/markforge.git","git@github.com:priyanshugupta2468-netizen/markforge.git","https://github.com/priyanshugupta2468-netizen/markforge.git","https://github.com/priyanshugupta2468-netizen/markforge","https://priyanshugupta2468-netizen.github.io/markforge/",15,"HTML",0,0,"main",
