"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"oriveo/oriveo",17,"oriveo","https://avatars.githubusercontent.com/u/324486934?v=4","Open-source, bring-your-own-key (BYOK) multi-model AI chat client for iOS, Android and the web. One LLM client for OpenAI, Anthropic, Google Gemini, OpenRouter, DeepSeek and ten more providers, plus any OpenAI-, Anthropic- or Gemini-compatible endpoint — Ollama, LM Studio, llama.cpp, vLLM. Local-first, self-hostable, no account. AGPL-3.0.","[""ai-chat"",""ai-chat-client"",""ai-client"",""android"",""anthropic"",""bring-your-own-key"",""byok"",""chatgpt-alternative"",""claude"",""deepseek"",""gemini"",""ios"",""llama-cpp"",""llm-client"",""lm-studio"",""multi-model"",""ollama"",""openai"",""openrouter"",""self-hosted""]","https://github.com/oriveo/oriveo","2026-09-03T13:12:35Z","2026-09-09T01:22:10Z","2026-09-08T10:45:10Z","git://github.com/oriveo/oriveo.git","git@github.com:oriveo/oriveo.git","https://github.com/oriveo/oriveo.git","https://github.com/oriveo/oriveo","https://oriveoai.com",12738,"Kotlin",4,0,"main","GNU Affero General Public License v3.0"
"cagrikacmaz/gpt-6-astra-vs-gemini-3-8-flash",13,"cagrikacmaz","https://avatars.githubusercontent.com/u/19714227?v=4","Same-brief agentic build comparison: GPT-6 Astra High vs Gemini 3.8 Flash High building a playable 3D AI civilization simulation game.","[""agentic-ai"",""agentic-coding"",""ai-agents"",""ai-coding"",""civilization-simulation"",""game-development"",""gemini"",""gpt-6-astra"",""llm-evaluation"",""simulation""]","https://github.com/cagrikacmaz/gpt-6-astra-vs-gemini-3-8-flash","2026-09-06T11:38:08Z","2026-09-08T17:48:49Z","2026-09-06T12:12:37Z","git://github.com/cagrikacmaz/gpt-6-astra-vs-gemini-3-8-flash.git","git@github.com:cagrikacmaz/gpt-6-astra-vs-gemini-3-8-flash.git","https://github.com/cagrikacmaz/gpt-6-astra-vs-gemini-3-8-flash.git","https://github.com/cagrikacmaz/gpt-6-astra-vs-gemini-3-8-flash",,24706,,2,0,"main",
"aizaloapp/zalo-flow",10,"aizaloapp","https://avatars.githubusercontent.com/u/321262740?v=4","The Open-Source Automation & Omnichannel Webhook Gateway for Personal Zalo","[""automation"",""chatbot"",""chatwoot"",""crm"",""deepseek"",""gemini"",""zalo"",""zalo-bot""]","https://github.com/aizaloapp/zalo-flow","2026-09-03T06:54:32Z","2026-09-08T10:47:34Z","2026-09-08T10:45:32Z","git://github.com/aizaloapp/zalo-flow.git","git@github.com:aizaloapp/zalo-flow.git","https://github.com/aizaloapp/zalo-flow.git","https://github.com/aizaloapp/zalo-flow","https://aizalo.com",1080,"JavaScript",5,0,"main","Other"
"fdiblen/rseng-agent-skills",10,"fdiblen","https://avatars.githubusercontent.com/u/144492?v=4","Research Software Engineering skills for AI coding agents","[""academic"",""agent-skill"",""agent-skills"",""agentic-ai"",""ai-agents"",""citation"",""claude"",""claude-skills"",""code-analysis"",""code-quality"",""codex"",""fair-software"",""gemini"",""open-science"",""reproducibility"",""reproducible-research"",""research-software"",""research-software-engineering"",""rseng"",""skills""]","https://github.com/fdiblen/rseng-agent-skills","2026-09-07T00:58:11Z","2026-09-08T10:07:24Z","2026-09-07T08:50:48Z","git://github.com/fdiblen/rseng-agent-skills.git","git@github.com:fdiblen/rseng-agent-skills.git","https://github.com/fdiblen/rseng-agent-skills.git","https://github.com/fdiblen/rseng-agent-skills","",1558,"Python",2,0,"main","MIT License"
"b24039971/lavka-gadgetov-bot",9,"b24039971","https://avatars.githubusercontent.com/u/212435821?v=4","🏪 Telegram-бот магазина на бесплатных ключах Google Gemini: ротация ключей при 429, каскад моделей, три личности продавца, каталог, корзина, QR-оплата","[""ai-assistant"",""api-key-rotation"",""chatbot"",""gemini"",""google-ai-studio"",""llm"",""nodejs"",""telegram"",""telegram-bot"",""typescript""]","https://github.com/b24039971/lavka-gadgetov-bot","2026-09-03T03:12:12Z","2026-09-07T11:54:54Z","2026-09-03T03:29:14Z","git://github.com/b24039971/lavka-gadgetov-bot.git","git@github.com:b24039971/lavka-gadgetov-bot.git","https://github.com/b24039971/lavka-gadgetov-bot.git","https://github.com/b24039971/lavka-gadgetov-bot","https://t.me/abuz_ai",85,"TypeScript",0,0,"main","MIT License"
"FreePeak/onegw",6,"FreePeak","https://avatars.githubusercontent.com/u/192848417?v=4","Single-binary LLM gateway in Go — OpenAI/Anthropic/Gemini any-to-any translation, fallback combos, token saver, usage tracking, ~100 MB RSS","[""anthropic"",""gemini"",""go"",""llm"",""llm-gateway"",""llm-proxy"",""openai"",""reverse-proxy"",""streaming""]","https://github.com/FreePeak/onegw","2026-09-07T04:25:30Z","2026-09-08T17:12:13Z","2026-09-08T17:07:21Z","git://github.com/FreePeak/onegw.git","git@github.com:FreePeak/onegw.git","https://github.com/FreePeak/onegw.git","https://github.com/FreePeak/onegw",,1815,"Go",0,7,"master","MIT License"
"adxd-og/omelette-fleet",6,"adxd-og","https://avatars.githubusercontent.com/u/47061296?v=4","Gemini, Grok and Codex as read-only research & review units inside Claude Code — on the subscriptions you already pay for.","[""ai-agents"",""claude-code"",""codex"",""developer-tools"",""gemini"",""grok"",""mcp""]","https://github.com/adxd-og/omelette-fleet","2026-09-03T12:14:08Z","2026-09-08T23:26:25Z","2026-09-08T23:26:12Z","git://github.com/adxd-og/omelette-fleet.git","git@github.com:adxd-og/omelette-fleet.git","https://github.com/adxd-og/omelette-fleet.git","https://github.com/adxd-og/omelette-fleet",,1482,"JavaScript",0,0,"main","MIT License"
"ishandutta2007/notebooklm-api",4,"ishandutta2007","https://avatars.githubusercontent.com/u/2527354?v=4","Python API and agentic skill for Google Gemini Notebook","[""ai-theory"",""gemini"",""mcp-server"",""notebooklm"",""python-sdk"",""rag""]","https://github.com/ishandutta2007/notebooklm-api","2026-09-03T09:13:34Z","2026-09-07T08:45:16Z","2026-09-07T08:45:36Z","git://github.com/ishandutta2007/notebooklm-api.git","git@github.com:ishandutta2007/notebooklm-api.git","https://github.com/ishandutta2007/notebooklm-api.git","https://github.com/ishandutta2007/notebooklm-api",,12750,"Python",0,0,"main","MIT License"
"phanvanhuyha-dev/HP-AI-Usage",3,"phanvanhuyha-dev","https://avatars.githubusercontent.com/u/274661984?v=4","Local, zero-dependency Windows dashboard that tracks Claude, ChatGPT, Gemini, AntiGravity and Perplexity usage quotas side by side. Full dashboard, floating widget, and an always-on-top taskbar bar with live reset countdowns.","[""ai"",""antigravity"",""chatgpt"",""claude"",""gemini"",""nodejs"",""usage-monitor"",""windows-11""]","https://github.com/phanvanhuyha-dev/HP-AI-Usage","2026-09-06T09:22:21Z","2026-09-07T23:42:22Z","2026-09-07T06:11:52Z","git://github.com/phanvanhuyha-dev/HP-AI-Usage.git","git@github.com:phanvanhuyha-dev/HP-AI-Usage.git","https://github.com/phanvanhuyha-dev/HP-AI-Usage.git","https://github.com/phanvanhuyha-dev/HP-AI-Usage","",1180,"JavaScript",0,0,"main","MIT License"
"zeyxx/hermes-antigravity",3,"zeyxx","https://avatars.githubusercontent.com/u/151752284?v=4","Google Antigravity / Cloud Code Assist inference provider plugin for Hermes Agent","[""ai-agents"",""antigravity"",""claude"",""gemini"",""hermes-agent"",""llm-inference"",""model-provider""]","https://github.com/zeyxx/hermes-antigravity","2026-09-05T12:35:29Z","2026-09-08T15:04:27Z","2026-09-05T14:11:25Z","git://github.com/zeyxx/hermes-antigravity.git","git@github.com:zeyxx/hermes-antigravity.git","https://github.com/zeyxx/hermes-antigravity.git","https://github.com/zeyxx/hermes-antigravity","https://github.com/zeyxx/hermes-antigravity",29,"Python",2,1,"main","Other"
