"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"lidge-jun/aside-codemode",114,"lidge-jun","https://avatars.githubusercontent.com/u/243035832?v=4","One call where Aside used to spend fifty — rg-backed search, Aside-shaped file tools, and batched browser work inside a single sandboxed JavaScript block. On a real folder, 55s of find+grep became 1s.","[""agent-tools"",""ai-agents"",""aside"",""browser-agent"",""browser-automation"",""cli"",""code-mode"",""codex"",""developer-tools"",""llm-tools"",""nodejs"",""npm-package"",""playwright"",""ripgrep"",""sandbox""]","https://github.com/lidge-jun/aside-codemode","2026-09-13T09:08:26Z","2026-09-18T11:51:58Z","2026-09-18T09:25:27Z","git://github.com/lidge-jun/aside-codemode.git","git@github.com:lidge-jun/aside-codemode.git","https://github.com/lidge-jun/aside-codemode.git","https://github.com/lidge-jun/aside-codemode","https://www.npmjs.com/package/aside-codemode",4192,"JavaScript",12,0,"main","MIT License"
"dashscope-sdk/idempotency-shield",61,"dashscope-sdk","https://avatars.githubusercontent.com/u/328999928?v=4","Express middleware that makes handlers safe to retry — replays the cached response for a duplicate Idempotency-Key instead of re-running it, with pluggable in-memory or Redis storage.","[""express"",""express-js"",""expressjs"",""nodejs""]","https://github.com/dashscope-sdk/idempotency-shield","2026-09-17T20:48:37Z","2026-09-19T01:21:37Z","2026-09-17T20:48:41Z","git://github.com/dashscope-sdk/idempotency-shield.git","git@github.com:dashscope-sdk/idempotency-shield.git","https://github.com/dashscope-sdk/idempotency-shield.git","https://github.com/dashscope-sdk/idempotency-shield","",41,"TypeScript",10,0,"main","MIT License"
"RenaudRohlinger/node-webgl",38,"RenaudRohlinger","https://avatars.githubusercontent.com/u/15867665?v=4","Headless WebGL 1 & 2 for Node.js, powered by ANGLE (Metal, D3D11, Vulkan). Render any WebGL or three.js scene without a browser.","[""angle"",""gpu"",""headless"",""nodejs"",""rendering"",""threejs"",""webgl"",""webgl2""]","https://github.com/RenaudRohlinger/node-webgl","2026-09-16T15:16:39Z","2026-09-18T17:06:04Z","2026-09-17T11:57:51Z","git://github.com/RenaudRohlinger/node-webgl.git","git@github.com:RenaudRohlinger/node-webgl.git","https://github.com/RenaudRohlinger/node-webgl.git","https://github.com/RenaudRohlinger/node-webgl",,9524,"C",1,0,"main","Other"
"blixvip/NullMotion",37,"blixvip","https://avatars.githubusercontent.com/u/247529250?v=4","Launch-film preview: a finished motion-graphics ad over the black-and-white HyperFrames drafts it grew from, with frame-accurate MP4 export.","[""animation"",""gsap"",""hyperframes"",""motion-graphics"",""nodejs"",""video"",""webcodecs""]","https://github.com/blixvip/NullMotion","2026-09-18T18:09:18Z","2026-09-19T01:52:32Z","2026-09-18T18:18:45Z","git://github.com/blixvip/NullMotion.git","git@github.com:blixvip/NullMotion.git","https://github.com/blixvip/NullMotion.git","https://github.com/blixvip/NullMotion",,49888,"HTML",3,0,"main",
"AvenCores/zapret-gui-nodejs",28,"AvenCores","https://avatars.githubusercontent.com/u/64781822?v=4","🛡 Обход блокировок DPI и Telegram при помощи Zapret и Telegram прокси 🌍","[""batchfile"",""dpi"",""dpi-bypassing"",""electron"",""electron-app"",""gplv3"",""gui"",""gui-application"",""nodejs"",""powershell"",""powershell-script"",""typescript"",""zapret-discord-fix"",""zapret-rutor-fix"",""zapret-telegram-fix"",""zapret-youtube-fix"",""zapretui"",""zapretwindows"",""zapretyan-go"",""zapretzen""]","https://github.com/AvenCores/zapret-gui-nodejs","2026-09-13T14:41:29Z","2026-09-18T21:59:23Z","2026-09-18T13:55:13Z","git://github.com/AvenCores/zapret-gui-nodejs.git","git@github.com:AvenCores/zapret-gui-nodejs.git","https://github.com/AvenCores/zapret-gui-nodejs.git","https://github.com/AvenCores/zapret-gui-nodejs","https://t.me/avencoresyt",2889,"TypeScript",1,0,"main","GNU General Public License v3.0"
"0xwast3/PELLET",18,"0xwast3","https://avatars.githubusercontent.com/u/320452965?v=4","Dormant wallets waking, and where the money went after. CLI-first wake terminal for Robinhood Chain.","[""cli"",""crypto"",""nodejs"",""owl"",""robinhood-chain"",""smart-money"",""terminal"",""tui"",""whale-tracking""]","https://github.com/0xwast3/PELLET","2026-09-12T02:51:19Z","2026-09-14T17:04:38Z","2026-09-14T16:24:22Z","git://github.com/0xwast3/PELLET.git","git@github.com:0xwast3/PELLET.git","https://github.com/0xwast3/PELLET.git","https://github.com/0xwast3/PELLET","",1548,"JavaScript",3,0,"main","MIT License"
"panelalpha/panelalpha-engine",12,"panelalpha","https://avatars.githubusercontent.com/u/138688133?v=4","The easiest way to self-host projects on your own server. Connect your AI agent and let it deploy, maintain and manage multiple projects on any stack, while keeping your server organized and under control. Easy for anyone, not just sysadmins.","[""ai"",""ai-agents"",""ai-driven"",""deployment"",""docker"",""docker-compose"",""git"",""laravel"",""mariadb"",""mysql"",""nextjs"",""nodejs"",""panelalpha"",""php"",""postgresql"",""python"",""repositories"",""self-hosted"",""self-hosting"",""wordpress""]","https://github.com/panelalpha/panelalpha-engine","2026-09-16T10:13:46Z","2026-09-18T06:35:14Z","2026-09-16T16:34:28Z","git://github.com/panelalpha/panelalpha-engine.git","git@github.com:panelalpha/panelalpha-engine.git","https://github.com/panelalpha/panelalpha-engine.git","https://github.com/panelalpha/panelalpha-engine","https://engine.panelalpha.com/",18915,"PHP",1,14,"main",
"nyxsky404/vmup",11,"nyxsky404","https://avatars.githubusercontent.com/u/189461188?v=4","Send screenshots and files to remote hosts over SSH for AI agents (Claude Code, Codex, Cursor, and more)","[""agents"",""cli"",""clipboard"",""coding-agents"",""nodejs"",""rsync"",""scp"",""ssh"",""typescript""]","https://github.com/nyxsky404/vmup","2026-09-12T05:21:38Z","2026-09-18T08:38:44Z","2026-09-17T09:48:50Z","git://github.com/nyxsky404/vmup.git","git@github.com:nyxsky404/vmup.git","https://github.com/nyxsky404/vmup.git","https://github.com/nyxsky404/vmup","https://vmup.dev",750,"TypeScript",0,1,"main","MIT License"
"I-am-Tofunmi/portfolio",11,"I-am-Tofunmi","https://avatars.githubusercontent.com/u/231803222?v=4","Personal developer portfolio — React, Node.js, NestJS, and Tailwind CSS. Showcasing projects, experience, and skills.","[""full-stack-developer"",""nestjs"",""nodejs"",""portfolio"",""react"",""tailwindcss"",""vite""]","https://github.com/I-am-Tofunmi/portfolio","2026-09-14T21:55:15Z","2026-09-16T21:05:30Z","2026-09-15T14:20:36Z","git://github.com/I-am-Tofunmi/portfolio.git","git@github.com:I-am-Tofunmi/portfolio.git","https://github.com/I-am-Tofunmi/portfolio.git","https://github.com/I-am-Tofunmi/portfolio","https://tofunmi.dev",200,"JavaScript",0,0,"main",
"PainterAnkry/chahui",9,"PainterAnkry","https://avatars.githubusercontent.com/u/108811591?v=4","茶绘 · 多人实时协作绘画聊天室（Electron 桌面端 + Node 服务端，SAI2 风格笔刷体系）","[""canvas"",""collaborative"",""drawing"",""electron"",""nodejs"",""paint"",""sai"",""websocket""]","https://github.com/PainterAnkry/chahui","2026-09-13T15:22:58Z","2026-09-18T20:06:25Z","2026-09-18T15:12:03Z","git://github.com/PainterAnkry/chahui.git","git@github.com:PainterAnkry/chahui.git","https://github.com/PainterAnkry/chahui.git","https://github.com/PainterAnkry/chahui",,10454,"JavaScript",0,0,"main","MIT License"
