"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"liyupi/ai-model-world",87,"liyupi","https://avatars.githubusercontent.com/u/26037703?v=4","AI 大模型世界，把 556 个大模型拟人化成像素小人的可视化站点。进来就能看到此刻谁最聪明、谁最会写代码、谁最便宜、谁刚发布，往下是国内与国外分区的厂商广场、完整的发布时间线和多维排行榜。搜索认模型名、厂商和能力，输入「多模态」会直接列出全部多模态模型。数据取自 Epoch AI、models.dev、LiveBench 与 Hugging Face，每小时自动同步，所有文案由真实数据生成，不调用任何 LLM。Next.js 静态导出，零后端。","[""ai"",""ai-models"",""benchmark"",""chinese"",""data-visualization"",""deepseek"",""large-language-models"",""leaderboard"",""llm"",""llm-benchmarks"",""llm-leaderboard"",""model-comparison"",""nextjs"",""pixel-art"",""react"",""static-site"",""tailwindcss"",""typescript""]","https://github.com/liyupi/ai-model-world","2026-09-17T03:12:17Z","2026-09-19T01:30:01Z","2026-09-18T17:10:40Z","git://github.com/liyupi/ai-model-world.git","git@github.com:liyupi/ai-model-world.git","https://github.com/liyupi/ai-model-world.git","https://github.com/liyupi/ai-model-world","https://bilibili.com/toy/ai-model-world",5124,"TypeScript",17,1,"main","MIT License"
"cobanov/fly-connectome-template",64,"cobanov","https://avatars.githubusercontent.com/u/29142615?v=4","Real fly anatomy and model-output starter. Custom license requires web UI and repository attribution.","[""connectome"",""drosophila"",""flybody"",""malecns"",""neuroscience"",""react"",""scientific-visualization"",""source-available"",""template"",""threejs"",""typescript"",""vite""]","https://github.com/cobanov/fly-connectome-template","2026-09-12T09:17:25Z","2026-09-19T01:31:55Z","2026-09-12T09:26:46Z","git://github.com/cobanov/fly-connectome-template.git","git@github.com:cobanov/fly-connectome-template.git","https://github.com/cobanov/fly-connectome-template.git","https://github.com/cobanov/fly-connectome-template",,2298,"TypeScript",4,0,"main","Other"
"wherescz/sfinterface-numbers",51,"wherescz","https://avatars.githubusercontent.com/u/96392276?v=4","Numbers that move the way they should. A React component from The San Francisco Interface.","[""animation"",""counter"",""number-animation"",""odometer"",""react"",""react-component""]","https://github.com/wherescz/sfinterface-numbers","2026-09-13T19:50:59Z","2026-09-18T16:38:59Z","2026-09-14T13:49:00Z","git://github.com/wherescz/sfinterface-numbers.git","git@github.com:wherescz/sfinterface-numbers.git","https://github.com/wherescz/sfinterface-numbers.git","https://github.com/wherescz/sfinterface-numbers","https://numbers.sfinterface.com",16721,"TypeScript",0,0,"main","MIT License"
"karacca/moodstone",40,"karacca","https://avatars.githubusercontent.com/u/47274419?v=4","Animated, procedurally generated agent avatars for React Native.","[""agent-ui"",""ai-agent"",""ai-agents"",""android"",""animated-svg"",""animation"",""avatar"",""avatars"",""expo"",""generative-art"",""ios"",""llm"",""procedural-generation"",""react"",""react-native"",""react-native-skia"",""reanimated"",""skia"",""svg"",""typescript""]","https://github.com/karacca/moodstone","2026-09-12T10:34:11Z","2026-09-18T14:14:23Z","2026-09-12T20:17:32Z","git://github.com/karacca/moodstone.git","git@github.com:karacca/moodstone.git","https://github.com/karacca/moodstone.git","https://github.com/karacca/moodstone","https://moodstone.expo.app",12710,"TypeScript",6,0,"master","MIT License"
"posva/medula",30,"posva","https://avatars.githubusercontent.com/u/664177?v=4","🧬 control your app from inside it","[""ai"",""codex"",""debug"",""devtools"",""mcp"",""next"",""react"",""vue""]","https://github.com/posva/medula","2026-09-14T09:36:29Z","2026-09-18T12:31:12Z","2026-09-16T14:19:06Z","git://github.com/posva/medula.git","git@github.com:posva/medula.git","https://github.com/posva/medula.git","https://github.com/posva/medula","",2539,"TypeScript",0,0,"main","MIT License"
"muthokaricky-alt/AniTrack",20,"muthokaricky-alt","https://avatars.githubusercontent.com/u/243061814?v=4","Anime and Manga tracker built with React + Vite.","[""anime"",""manga"",""react"",""vite""]","https://github.com/muthokaricky-alt/AniTrack","2026-09-12T13:32:42Z","2026-09-19T01:10:33Z","2026-09-18T22:10:30Z","git://github.com/muthokaricky-alt/AniTrack.git","git@github.com:muthokaricky-alt/AniTrack.git","https://github.com/muthokaricky-alt/AniTrack.git","https://github.com/muthokaricky-alt/AniTrack",,32209,"JavaScript",0,0,"main",
"fujiDevv/calamansi-ui",20,"fujiDevv","https://avatars.githubusercontent.com/u/46517393?v=4","A tiny, open-source animated React UI component registry for Next.js and Tailwind CSS.","[""components"",""nextjs"",""open-source"",""react"",""react-components"",""shadcn"",""shadcn-ui"",""ui"",""ui-components""]","https://github.com/fujiDevv/calamansi-ui","2026-09-16T08:56:26Z","2026-09-18T15:12:16Z","2026-09-18T10:22:54Z","git://github.com/fujiDevv/calamansi-ui.git","git@github.com:fujiDevv/calamansi-ui.git","https://github.com/fujiDevv/calamansi-ui.git","https://github.com/fujiDevv/calamansi-ui","https://calamansi-ui.josh-4b7.workers.dev/",4178,"TypeScript",0,1,"main",
"julesvbertolino/todoist-enhancements",16,"julesvbertolino","https://avatars.githubusercontent.com/u/271253367?v=4","Enhanced for Todoist: an independent project, not created by, affiliated with, or supported by Todoist. A different front end built around planning a week. Runs in the browser, no backend, your token stays on your device.","[""local-first"",""productivity"",""pwa"",""react"",""task-management"",""todoist"",""typescript""]","https://github.com/julesvbertolino/todoist-enhancements","2026-09-14T17:12:58Z","2026-09-18T18:54:19Z","2026-09-18T14:30:22Z","git://github.com/julesvbertolino/todoist-enhancements.git","git@github.com:julesvbertolino/todoist-enhancements.git","https://github.com/julesvbertolino/todoist-enhancements.git","https://github.com/julesvbertolino/todoist-enhancements","https://todoistenhanced.julesbertolino.fr",21257,"TypeScript",3,6,"main","MIT License"
"g1304458637-afk/personal-investment-twin",12,"g1304458637-afk","https://avatars.githubusercontent.com/u/310382482?v=4","投镜 · Personal Investment Twin — an AI investment decision coach: rebuilds your investment episodes from your own trading history, attributes P&L with deterministic computation, and reminds you before you repeat past mistakes. No stock picks, no prediction, no auto-trading.","[""behavioral-finance"",""decision-attribution"",""desktop-app"",""investment"",""llm"",""python"",""react"",""tauri""]","https://github.com/g1304458637-afk/personal-investment-twin","2026-09-14T15:48:20Z","2026-09-18T10:14:17Z","2026-09-15T04:11:29Z","git://github.com/g1304458637-afk/personal-investment-twin.git","git@github.com:g1304458637-afk/personal-investment-twin.git","https://github.com/g1304458637-afk/personal-investment-twin.git","https://github.com/g1304458637-afk/personal-investment-twin",,10666,"Python",0,0,"main","MIT License"
"runninwithitmarketing/hermes-skill-deck",11,"runninwithitmarketing","https://avatars.githubusercontent.com/u/221353711?v=4","Local macOS dashboard for your Hermes Agent skills — auto-syncs SKILL.md files from ~/.hermes, customizable top menu bar (pick your own on first launch), custom skill boxes, and a Terminal Mode AI agent. Tauri + FastAPI + React.","[""ai-agents"",""claude"",""dashboard"",""deepseek"",""fastapi"",""macos"",""openai"",""react"",""skills"",""tailwindcss"",""tauri"",""vite""]","https://github.com/runninwithitmarketing/hermes-skill-deck","2026-09-16T01:52:32Z","2026-09-19T01:57:35Z","2026-09-18T02:19:51Z","git://github.com/runninwithitmarketing/hermes-skill-deck.git","git@github.com:runninwithitmarketing/hermes-skill-deck.git","https://github.com/runninwithitmarketing/hermes-skill-deck.git","https://github.com/runninwithitmarketing/hermes-skill-deck",,7833,"JavaScript",2,0,"main","MIT License"
