"full_name","stargazers_count","owner.login","owner.avatar_url","description","topics","html_url","created_at","updated_at","pushed_at","git_url","ssh_url","clone_url","svn_url","homepage","size","language","forks_count","open_issues_count","default_branch","license.name"
"xai-org/grok-build",23917,"xai-org","https://avatars.githubusercontent.com/u/130314967?v=4","SpaceXAI's coding agent harness and TUI. Fullscreen, mouse interactive, extensible.","[]","https://github.com/xai-org/grok-build","2026-07-14T20:04:23Z","2026-08-03T01:49:55Z","2026-07-31T18:08:12Z","git://github.com/xai-org/grok-build.git","git@github.com:xai-org/grok-build.git","https://github.com/xai-org/grok-build.git","https://github.com/xai-org/grok-build",,24878,"Rust",4540,0,"main","Apache License 2.0"
"Fei-Away/Codex-Dream-Skin",12986,"Fei-Away","https://avatars.githubusercontent.com/u/100042407?v=4","Codex Dream Skin","[]","https://github.com/Fei-Away/Codex-Dream-Skin","2026-07-15T12:34:51Z","2026-08-03T01:58:35Z","2026-07-31T17:07:33Z","git://github.com/Fei-Away/Codex-Dream-Skin.git","git@github.com:Fei-Away/Codex-Dream-Skin.git","https://github.com/Fei-Away/Codex-Dream-Skin.git","https://github.com/Fei-Away/Codex-Dream-Skin","https://www.dreamskin.cc",23374,"JavaScript",1294,78,"main",
"andrewyng/openworker",12040,"andrewyng","https://avatars.githubusercontent.com/u/3710007?v=4",,"[]","https://github.com/andrewyng/openworker","2026-07-20T01:52:32Z","2026-08-03T02:00:17Z","2026-08-01T18:51:09Z","git://github.com/andrewyng/openworker.git","git@github.com:andrewyng/openworker.git","https://github.com/andrewyng/openworker.git","https://github.com/andrewyng/openworker",,1041,"Python",1618,355,"main","MIT License"
"img2threejs/img2threejs",9123,"img2threejs","https://avatars.githubusercontent.com/u/309001690?v=4","Rebuild the object in a reference image as a code-only, procedural, quality-gated, animation-ready Three.js model. Token-efficient image-to-3D.","[""3d"",""ai-agents"",""claude-code"",""computer-graphics"",""generative"",""image-to-3d"",""procedural-generation"",""threejs"",""typescript"",""webgl""]","https://github.com/img2threejs/img2threejs","2026-07-15T02:58:39Z","2026-08-03T01:57:13Z","2026-08-02T16:07:20Z","git://github.com/img2threejs/img2threejs.git","git@github.com:img2threejs/img2threejs.git","https://github.com/img2threejs/img2threejs.git","https://github.com/img2threejs/img2threejs","https://img2threejs.github.io/img2threejs-showcase/",23534,"Python",693,43,"main","Apache License 2.0"
"unicity-aos/aos-ce",8576,"unicity-aos","https://avatars.githubusercontent.com/u/261740341?v=4","AOS Community Edition: the open agent operating system.","[]","https://github.com/unicity-aos/aos-ce","2026-07-12T23:39:52Z","2026-08-02T22:51:24Z","2026-07-31T23:07:02Z","git://github.com/unicity-aos/aos-ce.git","git@github.com:unicity-aos/aos-ce.git","https://github.com/unicity-aos/aos-ce.git","https://github.com/unicity-aos/aos-ce",,21274,"Rust",17,26,"main","Apache License 2.0"
"openai/codex-security",8210,"openai","https://avatars.githubusercontent.com/u/14957082?v=4","OpenAI's Codex Security CLI and TypeScript SDK for finding, validating, and fixing security vulnerabilities. npm: https://www.npmjs.com/package/@openai/codex-security","[""ai-security"",""application-security"",""cli"",""code-scanning"",""codex"",""codex-security"",""cybersecurity"",""devsecops"",""nodejs"",""npm"",""openai"",""sdk"",""security"",""typescript"",""vulnerability-scanning""]","https://github.com/openai/codex-security","2026-07-13T22:00:13Z","2026-08-03T01:56:48Z","2026-08-01T21:41:15Z","git://github.com/openai/codex-security.git","org-14957082@github.com:openai/codex-security.git","https://github.com/openai/codex-security.git","https://github.com/openai/codex-security","https://developers.openai.com/codex/security",7130,"TypeScript",549,99,"main","Apache License 2.0"
"MoonshotAI/Kimi-K3",7908,"MoonshotAI","https://avatars.githubusercontent.com/u/129152888?v=4","Open Frontier Intelligence","[]","https://github.com/MoonshotAI/Kimi-K3","2026-07-27T08:01:37Z","2026-08-03T02:00:32Z","2026-07-28T11:48:27Z","git://github.com/MoonshotAI/Kimi-K3.git","git@github.com:MoonshotAI/Kimi-K3.git","https://github.com/MoonshotAI/Kimi-K3.git","https://github.com/MoonshotAI/Kimi-K3",,5017,,574,17,"main","Other"
"x4gKing/X4G",7356,"x4gKing","https://avatars.githubusercontent.com/u/298382259?v=4",,"[]","https://github.com/x4gKing/X4G","2026-07-04T06:43:51Z","2026-08-03T00:37:10Z","2026-07-21T12:47:04Z","git://github.com/x4gKing/X4G.git","git@github.com:x4gKing/X4G.git","https://github.com/x4gKing/X4G.git","https://github.com/x4gKing/X4G",,64,"Python",13479,19,"main",
"yc-software/qm",7338,"yc-software","https://avatars.githubusercontent.com/u/153323858?v=4","Multiplayer agent harness for work","[]","https://github.com/yc-software/qm","2026-07-29T20:03:08Z","2026-08-03T02:01:33Z","2026-08-01T01:30:53Z","git://github.com/yc-software/qm.git","git@github.com:yc-software/qm.git","https://github.com/yc-software/qm.git","https://github.com/yc-software/qm","https://qm.ycombinator.com",5605,"TypeScript",770,92,"main","MIT License"
"oso95/scroll-world",7157,"oso95","https://avatars.githubusercontent.com/u/86410452?v=4","A skill that turn any brand into a scrollable 3D world","[]","https://github.com/oso95/scroll-world","2026-07-06T21:28:58Z","2026-08-03T01:26:17Z","2026-07-29T04:44:56Z","git://github.com/oso95/scroll-world.git","git@github.com:oso95/scroll-world.git","https://github.com/oso95/scroll-world.git","https://github.com/oso95/scroll-world","",49,"JavaScript",800,9,"main","MIT License"
"MDX-Tom/gpt-5.6-instruct",4307,"MDX-Tom","https://avatars.githubusercontent.com/u/6468993?v=4","A Codex jailbreak prompt and test pack for gpt-5.6-sol. 针对 gpt-5.6 系列的 Codex 破甲提示词与测试包。","[]","https://github.com/MDX-Tom/gpt-5.6-instruct","2026-07-11T09:44:24Z","2026-08-03T01:56:31Z","2026-08-01T03:10:36Z","git://github.com/MDX-Tom/gpt-5.6-instruct.git","git@github.com:MDX-Tom/gpt-5.6-instruct.git","https://github.com/MDX-Tom/gpt-5.6-instruct.git","https://github.com/MDX-Tom/gpt-5.6-instruct","https://mdx-tom.github.io/gpt-5.6-instruct/",9589,"Python",649,12,"main","MIT License"
"drumih/turbo-fieldfare",4200,"drumih","https://avatars.githubusercontent.com/u/8088294?v=4","Gemma 4 26B-A4B inference in ~2 GB of RAM on any M-series MacBook","[""apple-silicon"",""gemma"",""gemma4"",""gemma4-26b-a4b"",""gpgpu"",""llm"",""llm-inference"",""local-ai"",""macos"",""metal"",""on-device-ai"",""on-device-llm"",""swift""]","https://github.com/drumih/turbo-fieldfare","2026-07-17T15:57:54Z","2026-08-03T02:01:24Z","2026-08-02T19:27:06Z","git://github.com/drumih/turbo-fieldfare.git","git@github.com:drumih/turbo-fieldfare.git","https://github.com/drumih/turbo-fieldfare.git","https://github.com/drumih/turbo-fieldfare","",2034,"Swift",207,39,"main","Apache License 2.0"
"petergyang/no-ai-slop",3816,"petergyang","https://avatars.githubusercontent.com/u/2383268?v=4","Removes 20+ patterns of AI slop from any piece of writing.","[]","https://github.com/petergyang/no-ai-slop","2026-07-07T05:05:58Z","2026-08-03T01:16:22Z","2026-08-03T00:06:21Z","git://github.com/petergyang/no-ai-slop.git","git@github.com:petergyang/no-ai-slop.git","https://github.com/petergyang/no-ai-slop.git","https://github.com/petergyang/no-ai-slop","https://creatoreconomy.so/p/use-my-no-ai-slop-skill-to-remove-20-ai-slop-patterns",1082,"Python",296,18,"main","MIT License"
"withmarbleapp/os-taxonomy",3800,"withmarbleapp","https://avatars.githubusercontent.com/u/233045934?v=4",,"[]","https://github.com/withmarbleapp/os-taxonomy","2026-07-08T09:27:48Z","2026-08-03T00:59:24Z","2026-07-08T14:18:23Z","git://github.com/withmarbleapp/os-taxonomy.git","git@github.com:withmarbleapp/os-taxonomy.git","https://github.com/withmarbleapp/os-taxonomy.git","https://github.com/withmarbleapp/os-taxonomy",,5629,"JavaScript",658,16,"main","Open Data Commons Open Database License v1.0"
"bashalarmistalt/decimen-optical-transfer",3703,"bashalarmistalt","https://avatars.githubusercontent.com/u/311128416?v=4",,"[]","https://github.com/bashalarmistalt/decimen-optical-transfer","2026-07-30T18:17:54Z","2026-08-03T01:58:10Z","2026-08-02T01:34:36Z","git://github.com/bashalarmistalt/decimen-optical-transfer.git","git@github.com:bashalarmistalt/decimen-optical-transfer.git","https://github.com/bashalarmistalt/decimen-optical-transfer.git","https://github.com/bashalarmistalt/decimen-optical-transfer","https://decimen.app/",2984,"TypeScript",428,7,"main","MIT License"
